G6,PLI_create_time,solve_time,result,counter,break_type
K??FvjkvDwN_,2.384185791015625e-07,2.5093462467193604,True,978,None
K?AFfZ[nBwNO,4.76837158203125e-07,1.4523980617523193,True,649,None
K?AFfT{^EwV_,4.76837158203125e-07,1.597891092300415,True,730,None
K?AFe\\{^FoV_,4.76837158203125e-07,1.6185634136199951,True,746,None
K?AFb^w^EwV_,2.384185791015625e-07,0.5237302780151367,True,400,None
K?ABrvszEwV_,7.152557373046875e-07,2.579608201980591,True,979,None
K?AFK~w}BwN_,2.384185791015625e-07,2.4521901607513428,True,914,None
K?BFFrwfbwFo,4.76837158203125e-07,2.0899057388305664,True,809,None
K?BFFrYn@{N_,4.76837158203125e-07,1.4132506847381592,True,684,None
K?BFDx]nBs^?,4.76837158203125e-07,2.8861706256866455,True,955,None
K?BFDvwnA{N_,2.384185791015625e-07,1.4957916736602783,True,708,None
K?BFDtynBwZ_,4.76837158203125e-07,0.35067272186279297,True,319,None
K?BF@}y^FoZ_,7.152557373046875e-07,1.342355489730835,True,627,None
K?BF@{}}FoZ_,2.384185791015625e-07,1.6693191528320312,True,768,None
K?BDfZ[^BsVO,7.152557373046875e-07,5.2324934005737305,True,1192,None
K?BDfVYnBwN_,4.76837158203125e-07,1.878354787826538,True,735,None
K?BDdvi^BwZ_,7.152557373046875e-07,0.2741684913635254,True,255,None
K?BDe\\{^FoVO,2.384185791015625e-07,1.2138159275054932,True,581,None
K?BDd\\{^Es^?,4.76837158203125e-07,0.4031524658203125,True,356,None
K?BDd\\y^FoZ_,7.152557373046875e-07,4.692807674407959,True,1200,None
K?BDb\\{nEs^?,2.384185791015625e-07,5.990154266357422,True,1189,None
K?BDb]y^FoZ_,4.76837158203125e-07,0.49325132369995117,True,376,None
K?BD`~i^FoZ_,2.384185791015625e-07,3.385390281677246,True,999,None
K?BD`|yzFoZ_,2.384185791015625e-07,0.31889772415161133,True,262,None
K?B@vfinBwZ_,2.384185791015625e-07,1.4999821186065674,True,682,None
K?B@tty|FWZ_,4.76837158203125e-07,2.343848705291748,True,922,None
K?B@tni^FoZ_,7.152557373046875e-07,3.1986632347106934,True,974,None
K?B@tnM^Fo^?,2.384185791015625e-07,1.9342083930969238,True,807,None
K?B@p~qzFoZ_,2.384185791015625e-07,2.57477068901062,True,962,None
K?B@p~e}FoZ_,4.76837158203125e-07,1.571007251739502,True,666,None
K?BENrwn@{NO,2.384185791015625e-07,1.3473284244537354,True,601,None
K?BEH{}}Fo^?,2.384185791015625e-07,2.708303928375244,True,955,None
K?BDLzY}BwNO,4.76837158203125e-07,20.923934936523438,True,1697,None
K?BDJz[]foVO,4.76837158203125e-07,3.4926187992095947,True,1058,None
K?BDK|{]fo^?,4.76837158203125e-07,1.4179134368896484,True,668,None
K?BDI|{}FoVO,2.384185791015625e-07,0.5916521549224854,True,455,None
K?BDI|y}FoV_,2.384185791015625e-07,7.632513999938965,True,1360,None
K?B@nZ[mfoNO,4.76837158203125e-07,3.7686829566955566,True,1044,None
K?B@nY{ufoNO,4.76837158203125e-07,2.3294246196746826,True,858,None
K?B@lx{}FSZO,4.76837158203125e-07,4.472955703735352,True,1150,None
K?B@m]{}FoNO,2.384185791015625e-07,11.50827693939209,True,1570,None
K?B@m[}}Fo^?,2.384185791015625e-07,2.612611770629883,True,904,None
K?B@l\\]}Fo^?,4.76837158203125e-07,1.6158199310302734,True,712,None
K?BFfRYn@yN_,4.76837158203125e-07,24.491746187210083,True,1708,None
K?BFfQynAyN_,4.76837158203125e-07,1.842073678970337,True,726,None
K?BDvbkvBwFW,4.76837158203125e-07,0.5030171871185303,True,377,None
K?BDtre}AyN_,2.384185791015625e-07,1.5801496505737305,True,700,None
K?BDrqyxRwZ_,4.76837158203125e-07,0.09345364570617676,True,61,None
K?BDrquyRwZ_,2.384185791015625e-07,2.2742438316345215,True,835,None
K?BDvH{^EqVO,2.384185791015625e-07,13.820137739181519,True,1367,None
K?BFMo}nBq^?,2.384185791015625e-07,1.909308671951294,True,813,None
K?BFKx{]foVG,2.384185791015625e-07,1.5713386535644531,True,685,None
K?BFHzYnFoNG,4.76837158203125e-07,2.5720715522766113,True,872,None
K?BFHy]}FoNG,2.384185791015625e-07,2.0753588676452637,True,831,None
K?BFHw}}FoZG,4.76837158203125e-07,1.7570273876190186,True,805,None
K?BDnP{^EqVO,2.384185791015625e-07,1.4530370235443115,True,661,None
K?BDnP{^DqZO,2.384185791015625e-07,4.237695217132568,True,1144,None
K?BDnP]nBq^?,4.76837158203125e-07,0.11393189430236816,True,105,None
K?BDnRX}@{N_,2.384185791015625e-07,3.538896322250366,True,1098,None
K?BDlpl]foZ_,4.76837158203125e-07,0.6697475910186768,True,492,None
K?BDjrkvBqVO,2.384185791015625e-07,7.943757772445679,True,1250,None
K?BDjrMnFoNG,2.384185791015625e-07,1.991048812866211,True,811,None
K?BDjrM^Dq^?,2.384185791015625e-07,7.102996826171875,True,1386,None
K?BDjqm]VoZ_,2.384185791015625e-07,0.39797043800354004,True,314,None
K?BDjpxydwZ_,4.76837158203125e-07,1.7617955207824707,True,735,None
K?BDlZY}BwNG,2.384185791015625e-07,12.484106540679932,True,1616,None
K?BDlXy]VoZ_,2.384185791015625e-07,0.16996407508850098,True,137,None
K?BDjYy]VoZ_,2.384185791015625e-07,2.2876529693603516,True,871,None
K?BDjX]mVo^?,4.76837158203125e-07,0.18179988861083984,True,139,None
K?BDjW}uVo^?,4.76837158203125e-07,1.329986333847046,True,630,None
K?BDhzi^Eq^?,4.76837158203125e-07,0.5503344535827637,True,431,None
K?BDhxyyVoZ_,4.76837158203125e-07,3.2649025917053223,True,1014,None
K?BDhxxyfoZ_,2.384185791015625e-07,1.0869717597961426,True,518,None
K?B@~bkvDqNO,2.384185791015625e-07,0.9250192642211914,True,495,None
K?B@|px{fWZ_,4.76837158203125e-07,1.2110188007354736,True,588,None
K?B@|pxxfoZ_,2.384185791015625e-07,2.9401159286499023,True,992,None
K?BfEq{fbsNG,2.384185791015625e-07,0.29113245010375977,True,246,None
K?BfEo}nBsZG,2.384185791015625e-07,6.231559991836548,True,1330,None
K?BfEo}NfoZG,2.384185791015625e-07,1.5826466083526611,True,702,None
K?BefQx}@{Jo,2.384185791015625e-07,1.663271427154541,True,722,None
K?BefQxfbwNO,4.76837158203125e-07,0.10263204574584961,True,76,None
K?BedrM^BsVG,4.76837158203125e-07,0.9547946453094482,True,528,None
K?BedpmvBsVG,4.76837158203125e-07,1.810222864151001,True,823,None
K?Bedpm^DqZO,2.384185791015625e-07,0.4883303642272949,True,358,None
K?Bedpm]dwZG,2.384185791015625e-07,3.2804338932037354,True,1039,None
K?BedpmVfoVG,4.76837158203125e-07,18.79009985923767,True,1737,None
K?Bedo}zBqZO,2.384185791015625e-07,2.735867738723755,True,912,None
K?Bedo}^FQZO,4.76837158203125e-07,0.0426025390625,True,31,None
K?BedpxvDsLo,4.76837158203125e-07,2.567735195159912,True,939,None
K?BeeW}mRs^?,2.384185791015625e-07,0.47342705726623535,True,378,None
K?Becy{]Rs\\O,2.384185791015625e-07,0.38710474967956543,True,320,None
K?Beczi]bwVG,4.76837158203125e-07,0.23665738105773926,True,203,None
K?Becxm]foVG,2.384185791015625e-07,1.935589075088501,True,850,None
K?Becw}]fQ^?,2.384185791015625e-07,5.612593412399292,True,1298,None
K?Becw}Yvo^?,4.76837158203125e-07,1.90324068069458,True,876,None
K?Bcvb[nBUNO,7.152557373046875e-07,0.31224584579467773,True,263,None
K?Bcv`{^Cu\\O,9.5367431640625e-07,0.2895395755767822,True,257,None
K?Bcv`m^EqVO,2.384185791015625e-07,0.2846033573150635,True,264,None
K?Bcv`]zBqVO,2.384185791015625e-07,64.79673790931702,True,1920,None
K?Bcv`]^FQVO,4.76837158203125e-07,0.32427048683166504,True,288,None
K?Bcv`xZewVO,2.384185791015625e-07,1.8582518100738525,True,791,None
K?Bcv`lvBsVO,2.384185791015625e-07,3.87113881111145,True,1092,None
K?Bcv`\\nFSNO,4.76837158203125e-07,2.0441982746124268,True,880,None
K?Bcv`Z^Dw\\O,4.76837158203125e-07,1.7363154888153076,True,800,None
K?BcrrevBsVG,4.76837158203125e-07,3.5903379917144775,True,1062,None
K?Bcrre^EqVO,2.384185791015625e-07,2.898740530014038,True,987,None
K?Bcrre]foRg,2.384185791015625e-07,2.8404712677001953,True,1015,None
K?BcrreffoNG,4.76837158203125e-07,10.112560033798218,True,1335,None
K?BcrrUzBqVO,4.76837158203125e-07,6.689832925796509,True,1227,None
K?BcrrUnFSNG,2.384185791015625e-07,2.244720935821533,True,868,None
K?BcrrUjfoNG,4.76837158203125e-07,0.04963183403015137,True,42,None
K?BcrpuyfoRg,4.76837158203125e-07,2.3158764839172363,True,955,None
K?BcrpxxewVO,4.76837158203125e-07,1.6828947067260742,True,727,None
K?BcrptzEsVO,4.76837158203125e-07,6.802975177764893,True,1281,None
K?Bcrp\\mfc\\_,4.76837158203125e-07,1.5548529624938965,True,669,None
K?BcvH{uRsVO,4.76837158203125e-07,1.4511728286743164,True,627,None
K?BcvH{]UsVO,2.384185791015625e-07,5.106333255767822,True,1171,None
K?BcvH{ers^?,2.384185791015625e-07,1.4949488639831543,True,669,None
K?BcvH]mRs^?,2.384185791015625e-07,2.0029101371765137,True,803,None
K?BcvH]]VoVO,2.384185791015625e-07,20.677186965942383,True,1585,None
K?BcvH]Mvo^?,2.384185791015625e-07,7.165555238723755,True,1261,None
K?BcvI\\]bs^?,2.384185791015625e-07,3.1767637729644775,True,945,None
K?BcvH\\]foVO,4.76837158203125e-07,4.1985533237457275,True,1100,None
K?Bcuh{yRsVO,2.384185791015625e-07,5.109175443649292,True,1175,None
K?BcuhmmVoNO,2.384185791015625e-07,0.10916566848754883,True,66,None
K?Bcuil]bs^?,2.384185791015625e-07,0.03323197364807129,True,28,None
K?Bcug|yfoNO,4.76837158203125e-07,0.44719576835632324,True,381,None
K?BcuhjnFoNO,2.384185791015625e-07,2.9241104125976562,True,1041,None
K?BcuhjNfo^?,2.384185791015625e-07,2.3768575191497803,True,844,None
K?BcugzyfoN_,7.152557373046875e-07,1.5816073417663574,True,707,None
K?BcugzZfo^?,2.384185791015625e-07,16.56115198135376,True,1672,None
K?BcrjM]foVG,2.384185791015625e-07,0.940279483795166,True,492,None
K?BcrjMMvo^?,2.384185791015625e-07,11.081513404846191,True,1351,None
K?BcrhmuVoVO,4.76837158203125e-07,4.2439258098602295,True,1096,None
K?BcrhlufoVO,2.384185791015625e-07,3.1425163745880127,True,951,None
K?Bcri\\ybs^?,4.76837158203125e-07,0.5494425296783447,True,413,None
K?BcriN]fo^?,4.76837158203125e-07,0.06918668746948242,True,51,None
K?Bcsxu]fQ^?,2.384185791015625e-07,3.4368598461151123,True,1079,None
K?BcsxuYvo^?,2.384185791015625e-07,2.036135196685791,True,846,None
K?Bcsxr^Fo\\O,4.76837158203125e-07,3.3234939575195312,True,1077,None
K?Bcsxr]fo\\_,2.384185791015625e-07,3.935218334197998,True,1110,None
K?Bcqxymfa\\_,4.76837158203125e-07,1.179908275604248,True,540,None
K?BcqzemfoNG,2.384185791015625e-07,2.1272153854370117,True,831,None
K?Bcqze]dq^?,4.76837158203125e-07,0.2957160472869873,True,278,None
K?BcqxrzFoVO,2.384185791015625e-07,0.3219778537750244,True,271,None
K?BcqxrnFS^?,2.384185791015625e-07,2.2328579425811768,True,887,None
K?BevbgfPxNO,4.76837158203125e-07,0.5760962963104248,True,419,None
K?BfMqwfbqNC,2.384185791015625e-07,3.5820472240448,True,1070,None
K?BfMqwVbqVC,2.384185791015625e-07,12.073620796203613,True,1440,None
K?BenRWnBpFW,4.76837158203125e-07,1.8337078094482422,True,745,None
K?BenQwuP{NC,2.384185791015625e-07,2.6917099952697754,True,981,None
K?BelpwrdqNC,2.384185791015625e-07,0.1404438018798828,True,116,None
K?BelpwjeqNC,4.76837158203125e-07,1.932159662246704,True,830,None
K?BelpwjbqZC,4.76837158203125e-07,2.058039426803589,True,866,None
K?Bc~bWmRTN_,2.384185791015625e-07,2.053831100463867,True,840,None
K?`FFq{la{N_,4.76837158203125e-07,0.5304763317108154,True,414,None
K?`FBvU^DwV_,2.384185791015625e-07,1.919774055480957,True,840,None
K?`FBtunDwZ_,4.76837158203125e-07,1.0324687957763672,True,505,None
K?`FBt]nDw]_,2.384185791015625e-07,2.863396644592285,True,946,None
K?`FC~wnBwMo,2.384185791015625e-07,8.33324909210205,True,1326,None
K?`F@{}}FgZ_,4.76837158203125e-07,2.9610342979431152,True,972,None
K?`Dfq{xa{N_,2.384185791015625e-07,1.5966362953186035,True,734,None
K?`DffM^BwV_,2.384185791015625e-07,5.396831274032593,True,1163,None
K?`Dfem^BwZ_,4.76837158203125e-07,9.211443901062012,True,1468,None
K?`DfdmnBwZ_,2.384185791015625e-07,2.994356870651245,True,1005,None
K?`Dfc}^FWZ_,2.384185791015625e-07,7.688016414642334,True,1374,None
K?`DfVU^BwV_,4.76837158203125e-07,1.84238862991333,True,755,None
K?`DfU]|BwN_,7.152557373046875e-07,2.1200220584869385,True,845,None
K?`DbvenBwZ_,4.76837158203125e-07,0.293027400970459,True,252,None
K?`Dbum|BwZ_,2.384185791015625e-07,2.3495447635650635,True,906,None
K?`DbtmnFgZ_,4.76837158203125e-07,1.6636865139007568,True,760,None
K?`Dblm}DwZ_,2.384185791015625e-07,1.4524760246276855,True,656,None
K?`EVjsn@{NO,2.384185791015625e-07,2.879143476486206,True,1064,None
K?`ETk}}FgN_,7.152557373046875e-07,1.335740566253662,True,651,None
K?`ERns^DwVO,7.152557373046875e-07,1.7700769901275635,True,772,None
K?`ERlu}DwV_,4.76837158203125e-07,1.8860788345336914,True,765,None
K?`DVdunBwZ_,2.384185791015625e-07,0.529517650604248,True,415,None
K?`DVc}|BwZ_,2.384185791015625e-07,6.419192790985107,True,1319,None
K?`DUu{|BkN_,4.76837158203125e-07,2.3768675327301025,True,908,None
K?`DRlu}DwZ_,4.76837158203125e-07,2.85217022895813,True,950,None
K?`FfQ{v@yMo,2.384185791015625e-07,0.358853816986084,True,290,None
K?`FfRU^@yV_,2.384185791015625e-07,3.736740827560425,True,1086,None
K?`FfQ]nBwMg,4.76837158203125e-07,15.481798887252808,True,1687,None
K?`FfP]|@yV_,2.384185791015625e-07,2.2334585189819336,True,858,None
K?`FfO}fVgN_,4.76837158203125e-07,1.8932077884674072,True,793,None
K?`FfRTn@{N_,7.152557373046875e-07,2.8725123405456543,True,968,None
K?`Fdrkv@yMo,2.384185791015625e-07,0.20308184623718262,True,174,None
K?`FdqurRwN_,4.76837158203125e-07,1.5500514507293701,True,756,None
K?`FdquZRwZ_,7.152557373046875e-07,2.420701503753662,True,965,None
K?`FdrMnBiN_,2.384185791015625e-07,0.6996657848358154,True,412,None
K?`Fdo}xRwZ_,4.76837158203125e-07,1.3589346408843994,True,658,None
K?`Fdo}\\VWZ_,2.384185791015625e-07,2.0889952182769775,True,861,None
K?`FdptjbwZ_,2.384185791015625e-07,2.007848024368286,True,873,None
K?`FdrLnBwMo,2.384185791015625e-07,2.455070972442627,True,937,None
K?`FbrM|@yV_,2.384185791015625e-07,1.6468935012817383,True,740,None
K?`FbrMnDwMg,7.152557373046875e-07,2.351914405822754,True,925,None
K?`FbrM^DiV_,4.76837158203125e-07,1.780061960220337,True,828,None
K?`FbqmvDwMg,4.76837158203125e-07,3.2280678749084473,True,1030,None
K?`Fbpm|DwRg,4.76837158203125e-07,0.8324995040893555,True,505,None
K?`Fbo}xTwZ_,4.76837158203125e-07,1.710118293762207,True,766,None
K?`Fbo}lVWZ_,2.384185791015625e-07,4.552744626998901,True,1202,None
K?`FeY{}@yMo,2.384185791015625e-07,0.6104094982147217,True,417,None
K?`FeZqn@yN_,2.384185791015625e-07,2.310382127761841,True,895,None
K?`FdZqnAyN_,2.384185791015625e-07,2.6373038291931152,True,943,None
K?`FdXyfVgN_,7.152557373046875e-07,1.9913432598114014,True,859,None
K?`FdZpnBwJo,4.76837158203125e-07,14.286552667617798,True,1486,None
K?`FdZXlbwN_,2.384185791015625e-07,3.8391008377075195,True,1062,None
K?`FdZTnBsN_,7.152557373046875e-07,17.504087209701538,True,1507,None
K?`FdX\\}DwMo,7.152557373046875e-07,2.7276246547698975,True,939,None
K?`F`zqNVWZ_,4.76837158203125e-07,0.5880415439605713,True,417,None
K?`F`yyZVgZ_,4.76837158203125e-07,0.8951566219329834,True,491,None
K?`F`ymuVgN_,4.76837158203125e-07,2.6100096702575684,True,970,None
K?`F`w}{VWZ_,2.384185791015625e-07,7.109381914138794,True,1340,None
K?`F`w}yVgZ_,2.384185791015625e-07,0.4223778247833252,True,345,None
K?`FUi{}@{Mg,2.384185791015625e-07,2.0399093627929688,True,807,None
K?`FUiynBwMg,2.384185791015625e-07,2.0231032371520996,True,800,None
K?`FUhy^DiV_,4.76837158203125e-07,4.267561674118042,True,1138,None
K?`FSzqnBwMg,4.76837158203125e-07,5.692506790161133,True,1245,None
K?`DvJwnA{Mg,4.76837158203125e-07,11.368517875671387,True,1313,None
K?`DvJXnBkN_,2.384185791015625e-07,0.5813696384429932,True,435,None
K?`DvJT^BwVO,4.76837158203125e-07,2.679979085922241,True,818,None
K?`DvH\\|BwVO,2.384185791015625e-07,1.7229371070861816,True,745,None
K?`DrjqZTwZ_,2.384185791015625e-07,5.366929054260254,True,1159,None
K?`DriyxRwZ_,2.384185791015625e-07,4.8468687534332275,True,1104,None
K?`Driy\\VWZ_,2.384185791015625e-07,2.48758864402771,True,859,None
K?`DrhuyTwZ_,2.384185791015625e-07,1.8191931247711182,True,787,None
K?`DuZwnBkMg,4.76837158203125e-07,2.398136615753174,True,849,None
K?bBFrwt`{Fo,2.384185791015625e-07,0.6607248783111572,True,467,None
K?bBFp{VdsUo,2.384185791015625e-07,6.569431781768799,True,1258,None
K?bBEyynBsMo,2.384185791015625e-07,2.6990103721618652,True,939,None
K?bBFe]nBwNO,2.384185791015625e-07,3.3648011684417725,True,1027,None
