G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
~?@c???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????H@_O????C?_?cC?CA?G??K????QA?H?A??@?H??G@o??_G????CG@_??A??C???GP?O??O??_?_@C??AAa??_?????A?X??G????_A?@AC???_D?_G?????@G??O`???????A?QG_???O???K@O??????_?B__???@AA_??@??????@C???CH????G@@?CO?????CG???B?_????_S?O???G???O?@????I_???_??????R_???OG??_C?_??????_@_???a??????O`O@??????@??_?O_?C?????C?OA_O??????@?@?O?C_?????AOA???@?A?????????WE??O??????G??CCD???????T??C?_????????AA???`A??????AOC?A?G???????@?A?W??G??????@?GE?C?????????A_P???O????????@????GSC???????BD??C??????????CC?GO??G??????B???A??D????????O?OG?A_???????????E?a?O?????????__G?O@?????????`A?I?????????????E??C??E????????EC????@O??????????_CC@??A????????,[(49-81-None)-(23-62-None)-(20-75-None)-(16-84-None)-(13-88-None)-(58-4-None)-(46-97-None)-(56-10-None)-(93-1-None)-(34-89-None)-(27-77-None)-(52-9-None)-(33-66-None)-(22-96-None)-(28-85-None)-(79-2-None)-(26-60-None)-(45-61-None)-(78-6-None)-(37-69-None)-(40-98-None)-(17-72-None)-(12-91-None)-(51-18-None)-(30-87-None)-(29-55-None)-(39-65-None)-(38-67-None)-(25-76-None)-(73-0-None)-(35-83-None)-(63-8-None)-(47-54-None)-(48-80-None)-(24-92-None)-(32-99-None)-(86-15-None)-(43-53-None)-(42-64-None)-(31-94-None)-(41-68-None)-(74-7-None)-(14-90-None)-(57-3-None)-(11-70-None)-(44-82-None)-(71-5-None)-(21-59-None)-(19-95-None)-(36-50-None)],0.0006911754608154297,0.02376556396484375,1,True,0
~?@c???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????H@_O????C?_?cC?CA?G??K????QA?H?A??@?H??G@o??_G????CG@_??A??C???GP?O??O??_?_@C??AAa??_?????A?X??G????_A?@AC???_D?_G?????@G??O`???????A?QG_???O???K@O??????_?B__???@AA_??@??????@C???CH????G@@?CO?????CG???B?_????_S?O???G???O?@????I_???_??????R_???OG??_C?_??????_@_???a??????O`O@??????@??_?O_?C?????C?OA_O??????@?@?O?C_?????AOA???@?A?????????WE??O??????G??CCD???????T??C?_????????AA???`A??????AOC?A?G???????@?A?W??G??????@?GE?C?????????A_P???O????????@????GSC???????BD??C??????????CC?GO??G??????B???A??D????????O?OG?A_???????????E?a?O?????????__G?O@?????????`A?I?????????????E??C??E????????EC????@O??????????_CC@??A????????,[(49-81-None)-(23-62-None)-(20-75-None)-(16-84-None)-(13-88-None)-(58-4-None)-(46-97-None)-(56-10-None)-(93-1-None)-(34-89-None)-(27-77-None)-(52-9-None)-(33-66-None)-(22-96-None)-(28-85-None)-(79-2-None)-(26-60-None)-(45-61-None)-(78-6-None)-(37-69-None)-(40-98-None)-(17-72-None)-(12-91-None)-(51-18-None)-(30-87-None)-(29-55-None)-(39-65-None)-(38-67-None)-(25-76-None)-(73-0-None)-(35-83-None)-(63-8-None)-(47-54-None)-(48-80-None)-(24-92-None)-(32-99-None)-(86-15-None)-(43-53-None)-(42-64-None)-(31-94-None)-(41-68-None)-(74-7-None)-(14-90-None)-(57-3-None)-(11-70-None)-(44-82-None)-(71-5-None)-(21-59-None)-(19-95-None)-(36-50-None)],0.0006573200225830078,0.02288818359375,1,True,0
~?@c????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????@?C?G@_?A@A?O???GOI????K??_?@?a?_?CA@GO????@_?O??H???O@??@?OO??AC?O??O_??@??`?D??G?_??g?O??A?BCA?????g??@??_C??@???AA_C???_?A?AOA???@_?G??P????G?A?_A?A??A???C?IG???A?O@?@??G???A?@?GC?A?????C@cO?????C??g?@??_???@?@??A@?_???_??P?c???????H?C_?A???????K??OGO??????_???CPA??????GI??@?O?????C?Q?G?O?????C?Ca??@??????G?C??OG_??????A??C?@H?????G?`O????_?????C???CO_G?????A@O??C?@???????D@CA??????????OC__?C????????GG?@A?@???????AGO??@?A????????_?PCA?????????_??g_?A???????A?@B??A?????????A??GC_G???????_O?C???`???????@??AGOG??????????c??G?I???????????D??HO????????cA????O_?????????GC?C_?A?????????q?OA????????????G?OG?C?O????????,[(25-90-None)-(87-7-None)-(31-69-None)-(95-20-None)-(45-77-None)-(12-83-None)-(96-0-None)-(70-15-None)-(23-92-None)-(38-53-None)-(32-67-None)-(33-72-None)-(27-98-None)-(62-4-None)-(41-94-None)-(49-80-None)-(40-71-None)-(78-6-None)-(86-13-None)-(17-54-None)-(65-36-None)-(56-3-None)-(46-99-None)-(28-60-None)-(82-34-None)-(11-59-None)-(35-50-None)-(43-63-None)-(64-37-None)-(47-91-None)-(66-1-None)-(42-74-None)-(16-55-None)-(19-81-None)-(76-14-None)-(48-68-None)-(57-10-None)-(26-89-None)-(18-79-None)-(29-88-None)-(21-84-None)-(97-30-None)-(93-5-None)-(75-9-None)-(44-58-None)-(2-61-None)-(39-52-None)-(22-51-None)-(73-8-None)-(24-85-None)],0.0006120204925537109,0.11444783210754395,4,True,0
~?@c????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????@?C?G@_?A@A?O???GOI????K??_?@?a?_?CA@GO????@_?O??H???O@??@?OO??AC?O??O_??@??`?D??G?_??g?O??A?BCA?????g??@??_C??@???AA_C???_?A?AOA???@_?G??P????G?A?_A?A??A???C?IG???A?O@?@??G???A?@?GC?A?????C@cO?????C??g?@??_???@?@??A@?_???_??P?c???????H?C_?A???????K??OGO??????_???CPA??????GI??@?O?????C?Q?G?O?????C?Ca??@??????G?C??OG_??????A??C?@H?????G?`O????_?????C???CO_G?????A@O??C?@???????D@CA??????????OC__?C????????GG?@A?@???????AGO??@?A????????_?PCA?????????_??g_?A???????A?@B??A?????????A??GC_G???????_O?C???`???????@??AGOG??????????c??G?I???????????D??HO????????cA????O_?????????GC?C_?A?????????q?OA????????????G?OG?C?O????????,[(25-90-None)-(87-7-None)-(31-69-None)-(95-20-None)-(45-77-None)-(12-83-None)-(96-0-None)-(70-15-None)-(23-92-None)-(38-53-None)-(32-67-None)-(33-72-None)-(27-98-None)-(62-4-None)-(41-94-None)-(49-80-None)-(40-71-None)-(78-6-None)-(86-13-None)-(17-54-None)-(65-36-None)-(56-3-None)-(46-99-None)-(28-60-None)-(82-34-None)-(11-59-None)-(35-50-None)-(43-63-None)-(64-37-None)-(47-91-None)-(66-1-None)-(42-74-None)-(16-55-None)-(19-81-None)-(76-14-None)-(48-68-None)-(57-10-None)-(26-89-None)-(18-79-None)-(29-88-None)-(21-84-None)-(97-30-None)-(93-5-None)-(75-9-None)-(44-58-None)-(2-61-None)-(39-52-None)-(22-51-None)-(73-8-None)-(24-85-None)],0.0007009506225585938,0.10940313339233398,4,True,0
~?@c??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????A_W?A??DO??OA?????A@?AE@??G?C_@??@@D??G????`?c?_??@??X?_???????A??K_O??GCAA?G??G?C@a??????a_?@?G???@?_??GC?O?C???@_?g??C????CCGC???CC_O?_??????a?_O?G??@?I??_?@????C??HQ?????ACG???D?????g@????@@????W?A?@??A???AA?a??G??????Oa?A??C???????W??WG????A?C?Q???_?????_CA???E??????@???Ig?????_???OGE??????C?????BW?????AA??CGO???????b?@???G?????E??S????_?????G_??@K???????B???Aa??????????P@?O?@??????g???G?AO????????GG?@??o?????CO?G???P????????@CAA??_????????A??@B?O??????A@?_C??_???????A_????P?A???????CG?G?GO?????????@???c?Q????????O?P?C??_????????H?C?@??O??????????K?g?C?????????OACG@??????????????oGOO?????????F??G?_??????????,[(21-71-None)-(14-59-None)-(15-88-None)-(97-26-None)-(85-0-None)-(66-2-None)-(34-86-None)-(27-74-None)-(90-8-None)-(53-1-None)-(95-7-None)-(98-36-None)-(37-51-None)-(78-6-None)-(48-81-None)-(29-83-None)-(89-12-None)-(64-25-None)-(30-63-None)-(61-5-None)-(58-18-None)-(28-72-None)-(41-69-None)-(22-92-None)-(70-32-None)-(33-65-None)-(40-52-None)-(39-50-None)-(42-77-None)-(4-87-None)-(3-91-None)-(76-17-None)-(46-80-None)-(31-67-None)-(16-94-None)-(19-56-None)-(93-11-None)-(47-84-None)-(75-9-None)-(24-55-None)-(45-96-None)-(43-62-None)-(10-68-None)-(23-99-None)-(49-57-None)-(44-73-None)-(38-60-None)-(20-54-None)-(35-82-None)-(13-79-None)],0.0006475448608398438,0.08350801467895508,3,True,0
~?@c??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????A_W?A??DO??OA?????A@?AE@??G?C_@??@@D??G????`?c?_??@??X?_???????A??K_O??GCAA?G??G?C@a??????a_?@?G???@?_??GC?O?C???@_?g??C????CCGC???CC_O?_??????a?_O?G??@?I??_?@????C??HQ?????ACG???D?????g@????@@????W?A?@??A???AA?a??G??????Oa?A??C???????W??WG????A?C?Q???_?????_CA???E??????@???Ig?????_???OGE??????C?????BW?????AA??CGO???????b?@???G?????E??S????_?????G_??@K???????B???Aa??????????P@?O?@??????g???G?AO????????GG?@??o?????CO?G???P????????@CAA??_????????A??@B?O??????A@?_C??_???????A_????P?A???????CG?G?GO?????????@???c?Q????????O?P?C??_????????H?C?@??O??????????K?g?C?????????OACG@??????????????oGOO?????????F??G?_??????????,[(21-71-None)-(14-59-None)-(15-88-None)-(97-26-None)-(85-0-None)-(66-2-None)-(34-86-None)-(27-74-None)-(90-8-None)-(53-1-None)-(95-7-None)-(98-36-None)-(37-51-None)-(78-6-None)-(48-81-None)-(29-83-None)-(89-12-None)-(64-25-None)-(30-63-None)-(61-5-None)-(58-18-None)-(28-72-None)-(41-69-None)-(22-92-None)-(70-32-None)-(33-65-None)-(40-52-None)-(39-50-None)-(42-77-None)-(4-87-None)-(3-91-None)-(76-17-None)-(46-80-None)-(31-67-None)-(16-94-None)-(19-56-None)-(93-11-None)-(47-84-None)-(75-9-None)-(24-55-None)-(45-96-None)-(43-62-None)-(10-68-None)-(23-99-None)-(49-57-None)-(44-73-None)-(38-60-None)-(20-54-None)-(35-82-None)-(13-79-None)],0.0007076263427734375,0.058609724044799805,2,True,0
~?@c????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????G???Gg??G???BA?a?G????WQ????Ac??@_C?G??C??c????g?CA_?@OG??CO??H???AGG??????H@B????O??_?CE???C?GC?@G??@???g?AA??@_?_@A??????@?_?KC???C??o?I????@?GOAG?????C?H@????C????OgA??C????WA?G???@????OM?O??????@??C???OQ????C?QA?A??????aO_?C???????O?ICA??????A?A`????O???CO??H??G??????_?O?BC??????????C?s_??????_?_@?CA?????C@???C?o????BA?????K??????CG?O?B???????A??@SC?????????@O???GH??????GCO??C?_????????@OC`?????????GO?GO?@???????H??@G_????????@?AA??@G???????O_???AAC????????W_??A?_??????A?_??C?AG???????@?C?C??B????????@oO_??????????????_Ae?????????C???O@??o???????A?A?AOG?????????A?q?A?????????????g?A_??_???????C@@????OG????????,[(91-1-None)-(56-7-None)-(38-96-None)-(40-99-None)-(77-29-None)-(74-3-None)-(12-86-None)-(49-50-None)-(88-5-None)-(19-76-None)-(30-82-None)-(48-66-None)-(0-75-None)-(47-98-None)-(62-4-None)-(33-84-None)-(35-81-None)-(36-55-None)-(34-64-None)-(26-87-None)-(22-68-None)-(15-90-None)-(13-93-None)-(43-51-None)-(44-53-None)-(60-9-None)-(32-57-None)-(27-85-None)-(72-10-None)-(46-83-None)-(39-71-None)-(54-11-None)-(18-70-None)-(63-14-None)-(20-73-None)-(21-78-None)-(16-97-None)-(28-65-None)-(31-94-None)-(42-67-None)-(58-23-None)-(24-61-None)-(79-6-None)-(41-80-None)-(25-69-None)-(17-92-None)-(8-89-None)-(95-2-None)-(37-52-None)-(45-59-None)],0.00090789794921875,0.0901789665222168,3,True,0
~?@c????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????G???Gg??G???BA?a?G????WQ????Ac??@_C?G??C??c????g?CA_?@OG??CO??H???AGG??????H@B????O??_?CE???C?GC?@G??@???g?AA??@_?_@A??????@?_?KC???C??o?I????@?GOAG?????C?H@????C????OgA??C????WA?G???@????OM?O??????@??C???OQ????C?QA?A??????aO_?C???????O?ICA??????A?A`????O???CO??H??G??????_?O?BC??????????C?s_??????_?_@?CA?????C@???C?o????BA?????K??????CG?O?B???????A??@SC?????????@O???GH??????GCO??C?_????????@OC`?????????GO?GO?@???????H??@G_????????@?AA??@G???????O_???AAC????????W_??A?_??????A?_??C?AG???????@?C?C??B????????@oO_??????????????_Ae?????????C???O@??o???????A?A?AOG?????????A?q?A?????????????g?A_??_???????C@@????OG????????,[(91-1-None)-(56-7-None)-(38-96-None)-(40-99-None)-(77-29-None)-(74-3-None)-(12-86-None)-(49-50-None)-(88-5-None)-(19-76-None)-(30-82-None)-(48-66-None)-(0-75-None)-(47-98-None)-(62-4-None)-(33-84-None)-(35-81-None)-(36-55-None)-(34-64-None)-(26-87-None)-(22-68-None)-(15-90-None)-(13-93-None)-(43-51-None)-(44-53-None)-(60-9-None)-(32-57-None)-(27-85-None)-(72-10-None)-(46-83-None)-(39-71-None)-(54-11-None)-(18-70-None)-(63-14-None)-(20-73-None)-(21-78-None)-(16-97-None)-(28-65-None)-(31-94-None)-(42-67-None)-(58-23-None)-(24-61-None)-(79-6-None)-(41-80-None)-(25-69-None)-(17-92-None)-(8-89-None)-(95-2-None)-(37-52-None)-(45-59-None)],0.0005908012390136719,0.035395145416259766,1,True,0
~?@c?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????IG??G??O??WCO?A?G????AEG???CG@O?O??AG???OK?H??H???G??S?@B????C?_??`_??A??_?OCG??G@??O?`?????QC?A?A??C??@@W????G?C???Go?????Ao?A?A???@@?C?OO???????_Pa????O??O_O_?????@`A??G???B?@????@O???????C?CT????G_@??CG????O??G@?O@????G@_????A_???DO?_G???????H??OA??C??????CS??g??????Ge?_?????????WI????A???????OA?gG???????C?C_?@?A????????c?_?D?????_O??_C??O?????@__C??O?????????@CC`????????o?????cO??????GC??AC?_??????CG?`O????????????AOD?_??????I???G?H????????A??@C?`??????????aO?A?O???????G?@?G?@O???????gGg?????????????@?D@_???????????CO?@?@G?????????CGOS??????????@G?G???g????????Co??OC??????????O??a?@??O???????C?H??A?_?????????,[(33-97-None)-(38-87-None)-(48-85-None)-(45-68-None)-(55-8-None)-(26-88-None)-(41-58-None)-(78-10-None)-(7-84-None)-(60-13-None)-(32-61-None)-(94-12-None)-(98-0-None)-(43-64-None)-(27-74-None)-(25-56-None)-(14-92-None)-(62-1-None)-(40-59-None)-(31-50-None)-(22-53-None)-(72-2-None)-(34-52-None)-(39-66-None)-(24-81-None)-(49-80-None)-(44-96-None)-(11-99-None)-(17-54-None)-(28-51-None)-(29-89-None)-(36-70-None)-(42-65-None)-(37-90-None)-(46-71-None)-(35-83-None)-(18-73-None)-(82-15-None)-(21-63-None)-(67-20-None)-(47-69-None)-(91-5-None)-(4-77-None)-(23-93-None)-(9-76-None)-(79-6-None)-(57-3-None)-(30-86-None)-(16-75-None)-(19-95-None)],0.0006606578826904297,0.10969209671020508,4,True,0
~?@c?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????IG??G??O??WCO?A?G????AEG???CG@O?O??AG???OK?H??H???G??S?@B????C?_??`_??A??_?OCG??G@??O?`?????QC?A?A??C??@@W????G?C???Go?????Ao?A?A???@@?C?OO???????_Pa????O??O_O_?????@`A??G???B?@????@O???????C?CT????G_@??CG????O??G@?O@????G@_????A_???DO?_G???????H??OA??C??????CS??g??????Ge?_?????????WI????A???????OA?gG???????C?C_?@?A????????c?_?D?????_O??_C??O?????@__C??O?????????@CC`????????o?????cO??????GC??AC?_??????CG?`O????????????AOD?_??????I???G?H????????A??@C?`??????????aO?A?O???????G?@?G?@O???????gGg?????????????@?D@_???????????CO?@?@G?????????CGOS??????????@G?G???g????????Co??OC??????????O??a?@??O???????C?H??A?_?????????,[(33-97-None)-(38-87-None)-(48-85-None)-(45-68-None)-(55-8-None)-(26-88-None)-(41-58-None)-(78-10-None)-(7-84-None)-(60-13-None)-(32-61-None)-(94-12-None)-(98-0-None)-(43-64-None)-(27-74-None)-(25-56-None)-(14-92-None)-(62-1-None)-(40-59-None)-(31-50-None)-(22-53-None)-(72-2-None)-(34-52-None)-(39-66-None)-(24-81-None)-(49-80-None)-(44-96-None)-(11-99-None)-(17-54-None)-(28-51-None)-(29-89-None)-(36-70-None)-(42-65-None)-(37-90-None)-(46-71-None)-(35-83-None)-(18-73-None)-(82-15-None)-(21-63-None)-(67-20-None)-(47-69-None)-(91-5-None)-(4-77-None)-(23-93-None)-(9-76-None)-(79-6-None)-(57-3-None)-(30-86-None)-(16-75-None)-(19-95-None)],0.0006897449493408203,0.037070512771606445,1,True,0
