G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
I?B~vrw}?,[(4-9)-(3-8)-(2-7)-(1-6)-(0-5)],3.218650817871094e-05,0.0005860328674316406,0,True,0
I?B~vrw}?,[(4-9)-(3-8)-(2-7)-(1-6)-(0-5)],3.218650817871094e-05,0.0005679130554199219,0,True,0
I?B~vrw}?,[(4-8)-(3-9)-(2-7)-(1-6)-(0-5)],3.2901763916015625e-05,0.0005819797515869141,0,True,0
I?B~vrw}?,[(4-8)-(3-9)-(2-7)-(1-6)-(0-5)],3.218650817871094e-05,0.0006053447723388672,0,True,0
I?B~vrw}?,[(4-9)-(3-7)-(2-8)-(1-6)-(0-5)],6.580352783203125e-05,0.00872039794921875,3,True,3
I?B~vrw}?,[(4-9)-(3-7)-(2-8)-(1-6)-(0-5)],6.29425048828125e-05,0.0036325454711914062,3,True,3
I?B~vrw}?,[(4-7)-(3-9)-(2-8)-(1-6)-(0-5)],3.4809112548828125e-05,0.004502534866333008,3,True,3
I?B~vrw}?,[(4-7)-(3-9)-(2-8)-(1-6)-(0-5)],3.314018249511719e-05,0.0036513805389404297,3,True,3
I?B~vrw}?,[(4-8)-(3-7)-(2-9)-(1-6)-(0-5)],3.361701965332031e-05,0.008463621139526367,3,True,3
I?B~vrw}?,[(4-8)-(3-7)-(2-9)-(1-6)-(0-5)],3.314018249511719e-05,0.0036439895629882812,3,True,3
I?B~vrw}?,[(4-7)-(3-8)-(2-9)-(1-6)-(0-5)],3.337860107421875e-05,0.008312463760375977,3,True,3
I?B~vrw}?,[(4-7)-(3-8)-(2-9)-(1-6)-(0-5)],3.266334533691406e-05,0.003682374954223633,3,True,3
I?B~vrw}?,[(4-9)-(3-8)-(2-6)-(1-7)-(0-5)],3.314018249511719e-05,0.004011631011962891,3,True,3
I?B~vrw}?,[(4-9)-(3-8)-(2-6)-(1-7)-(0-5)],3.1948089599609375e-05,0.0026018619537353516,2,True,2
I?B~vrw}?,[(4-8)-(3-9)-(2-6)-(1-7)-(0-5)],3.314018249511719e-05,0.004005908966064453,3,True,3
I?B~vrw}?,[(4-8)-(3-9)-(2-6)-(1-7)-(0-5)],3.218650817871094e-05,0.0035469532012939453,2,True,2
I?B~vrw}?,[(4-9)-(3-6)-(2-8)-(1-7)-(0-5)],3.3855438232421875e-05,0.013289690017700195,0,False,2
I?B~vrw}?,[(4-9)-(3-6)-(2-8)-(1-7)-(0-5)],3.266334533691406e-05,0.012760162353515625,0,False,2
I?B~vrw}?,[(4-6)-(3-9)-(2-8)-(1-7)-(0-5)],3.337860107421875e-05,0.012861251831054688,0,False,2
I?B~vrw}?,[(4-6)-(3-9)-(2-8)-(1-7)-(0-5)],3.1948089599609375e-05,0.012546777725219727,0,False,2
I?bvvrw^?,[(5-9)-(3-8)-(2-7)-(1-6)-(0-4)],3.266334533691406e-05,0.00950479507446289,7,True,7
I?bvvrw^?,[(5-9)-(3-8)-(2-7)-(1-6)-(0-4)],3.2901763916015625e-05,0.013202190399169922,4,True,4
I?bvvrw^?,[(5-9)-(3-7)-(2-8)-(1-6)-(0-4)],3.4332275390625e-05,0.0024085044860839844,2,True,2
I?bvvrw^?,[(5-9)-(3-7)-(2-8)-(1-6)-(0-4)],3.218650817871094e-05,0.0024085044860839844,2,True,2
I?bvvrw^?,[(5-9)-(3-8)-(2-6)-(1-7)-(0-4)],3.24249267578125e-05,0.0053882598876953125,4,True,4
I?bvvrw^?,[(5-9)-(3-8)-(2-6)-(1-7)-(0-4)],3.170967102050781e-05,0.01313638687133789,4,True,4
I?bvvrw^?,[(5-9)-(3-6)-(2-8)-(1-7)-(0-4)],3.2901763916015625e-05,0.00238037109375,2,True,2
I?bvvrw^?,[(5-9)-(3-6)-(2-8)-(1-7)-(0-4)],3.170967102050781e-05,0.002398252487182617,2,True,2
I?bvvrw^?,[(5-9)-(3-7)-(2-6)-(1-8)-(0-4)],3.218650817871094e-05,0.0013697147369384766,1,True,1
I?bvvrw^?,[(5-9)-(3-7)-(2-6)-(1-8)-(0-4)],3.1948089599609375e-05,0.004648685455322266,4,True,4
I?bvvrw^?,[(5-9)-(3-6)-(2-7)-(1-8)-(0-4)],3.2901763916015625e-05,0.006467103958129883,4,True,4
I?bvvrw^?,[(5-9)-(3-6)-(2-7)-(1-8)-(0-4)],3.170967102050781e-05,0.004761219024658203,4,True,4
I?bvvrw^?,[(4-9)-(3-8)-(2-7)-(1-6)-(0-5)],3.1948089599609375e-05,0.0005888938903808594,0,True,0
I?bvvrw^?,[(4-9)-(3-8)-(2-7)-(1-6)-(0-5)],3.147125244140625e-05,0.0005719661712646484,0,True,0
I?bvvrw^?,[(4-8)-(3-9)-(2-7)-(1-6)-(0-5)],3.218650817871094e-05,0.02102375030517578,4,True,4
I?bvvrw^?,[(4-8)-(3-9)-(2-7)-(1-6)-(0-5)],3.552436828613281e-05,0.003640413284301758,3,True,3
I?bvvrw^?,[(4-9)-(3-7)-(2-8)-(1-6)-(0-5)],3.2901763916015625e-05,0.0046002864837646484,3,True,3
I?bvvrw^?,[(4-9)-(3-7)-(2-8)-(1-6)-(0-5)],3.552436828613281e-05,0.0037026405334472656,3,True,3
I?bvvrw^?,[(4-7)-(3-9)-(2-8)-(1-6)-(0-5)],3.24249267578125e-05,0.015700817108154297,7,True,7
I?bvvrw^?,[(4-7)-(3-9)-(2-8)-(1-6)-(0-5)],3.147125244140625e-05,0.003628969192504883,3,True,3
I?rvfrwN_,[(6-9)-(3-8)-(2-7)-(1-5)-(0-4)],3.24249267578125e-05,0.002804279327392578,2,True,2
I?rvfrwN_,[(6-9)-(3-8)-(2-7)-(1-5)-(0-4)],3.123283386230469e-05,0.0013320446014404297,1,True,1
I?rvfrwN_,[(6-9)-(3-7)-(2-8)-(1-5)-(0-4)],3.266334533691406e-05,0.0013527870178222656,1,True,1
I?rvfrwN_,[(6-9)-(3-7)-(2-8)-(1-5)-(0-4)],3.4332275390625e-05,0.0017747879028320312,1,True,1
I?rvfrwN_,[(5-9)-(3-8)-(2-7)-(1-6)-(0-4)],3.218650817871094e-05,0.0024275779724121094,2,True,2
I?rvfrwN_,[(5-9)-(3-8)-(2-7)-(1-6)-(0-4)],3.075599670410156e-05,0.0037751197814941406,3,True,3
I?rvfrwN_,[(5-9)-(3-7)-(2-8)-(1-6)-(0-4)],3.62396240234375e-05,0.0024840831756591797,2,True,2
I?rvfrwN_,[(5-9)-(3-7)-(2-8)-(1-6)-(0-4)],3.123283386230469e-05,0.0216825008392334,7,True,7
I?rvfrwN_,[(6-9)-(3-8)-(2-5)-(1-7)-(0-4)],3.1948089599609375e-05,0.0078105926513671875,4,True,4
I?rvfrwN_,[(6-9)-(3-8)-(2-5)-(1-7)-(0-4)],3.1948089599609375e-05,0.0036554336547851562,3,True,3
I?rvfrwN_,[(5-9)-(3-8)-(2-6)-(1-7)-(0-4)],3.314018249511719e-05,0.003630399703979492,3,True,3
I?rvfrwN_,[(5-9)-(3-8)-(2-6)-(1-7)-(0-4)],3.1948089599609375e-05,0.0026154518127441406,2,True,2
I?rvfrwN_,[(6-9)-(3-5)-(2-8)-(1-7)-(0-4)],3.170967102050781e-05,0.0046770572662353516,4,True,4
I?rvfrwN_,[(6-9)-(3-5)-(2-8)-(1-7)-(0-4)],3.0994415283203125e-05,0.0023946762084960938,2,True,2
I?rvfrwN_,[(5-9)-(3-6)-(2-8)-(1-7)-(0-4)],3.1948089599609375e-05,0.002363920211791992,2,True,2
I?rvfrwN_,[(5-9)-(3-6)-(2-8)-(1-7)-(0-4)],3.147125244140625e-05,0.0023415088653564453,2,True,2
I?rvfrwN_,[(6-9)-(3-7)-(2-5)-(1-8)-(0-4)],3.218650817871094e-05,0.01924610137939453,5,True,6
I?rvfrwN_,[(6-9)-(3-7)-(2-5)-(1-8)-(0-4)],3.24249267578125e-05,0.005819559097290039,5,True,5
I?rvfrwN_,[(5-9)-(3-7)-(2-6)-(1-8)-(0-4)],3.218650817871094e-05,0.006394147872924805,3,True,3
I?rvfrwN_,[(5-9)-(3-7)-(2-6)-(1-8)-(0-4)],3.123283386230469e-05,0.009417295455932617,4,True,5
I?q~frw\\_,[(5-9)-(3-8)-(2-7)-(1-6)-(0-4)],3.266334533691406e-05,0.0013647079467773438,1,True,1
I?q~frw\\_,[(5-9)-(3-8)-(2-7)-(1-6)-(0-4)],3.218650817871094e-05,0.0013442039489746094,1,True,1
I?q~frw\\_,[(5-9)-(3-7)-(2-8)-(1-6)-(0-4)],3.24249267578125e-05,0.007965326309204102,5,True,5
I?q~frw\\_,[(5-9)-(3-7)-(2-8)-(1-6)-(0-4)],3.1948089599609375e-05,0.0023517608642578125,2,True,2
I?q~frw\\_,[(6-9)-(3-8)-(2-5)-(1-7)-(0-4)],3.361701965332031e-05,0.0019724369049072266,1,True,1
I?q~frw\\_,[(6-9)-(3-8)-(2-5)-(1-7)-(0-4)],3.170967102050781e-05,0.0045130252838134766,2,True,2
I?q~frw\\_,[(5-9)-(3-8)-(2-6)-(1-7)-(0-4)],3.337860107421875e-05,0.008520126342773438,3,True,3
I?q~frw\\_,[(5-9)-(3-8)-(2-6)-(1-7)-(0-4)],3.1948089599609375e-05,0.001798868179321289,1,True,1
I?q~frw\\_,[(6-9)-(3-5)-(2-8)-(1-7)-(0-4)],3.314018249511719e-05,0.024726390838623047,0,False,11
I?q~frw\\_,[(6-9)-(3-5)-(2-8)-(1-7)-(0-4)],3.552436828613281e-05,0.004900693893432617,4,True,4
