G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(53-57)-(46-47)-(41-59)-(39-45)-(38-58)-(31-56)-(29-43)-(28-42)-(27-48)-(25-44)-(24-55)-(23-26)-(21-35)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.0002849102020263672,0.018692493438720703,3,True,3
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(53-57)-(46-47)-(41-59)-(39-45)-(38-58)-(31-56)-(29-43)-(28-42)-(27-48)-(25-44)-(24-55)-(23-26)-(21-35)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.00028443336486816406,0.018192768096923828,3,True,3
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(57-59)-(46-47)-(44-56)-(41-42)-(39-45)-(35-53)-(29-43)-(28-38)-(27-48)-(26-31)-(24-58)-(23-55)-(21-25)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.0002772808074951172,0.0035974979400634766,0,True,0
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(57-59)-(46-47)-(44-56)-(41-42)-(39-45)-(35-53)-(29-43)-(28-38)-(27-48)-(26-31)-(24-58)-(23-55)-(21-25)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.0002818107604980469,0.007845401763916016,1,True,1
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(57-59)-(44-56)-(41-47)-(39-45)-(38-46)-(35-53)-(29-43)-(28-42)-(27-48)-(26-31)-(24-58)-(23-55)-(21-25)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.0002837181091308594,0.09424281120300293,5,True,5
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(57-59)-(44-56)-(41-47)-(39-45)-(38-46)-(35-53)-(29-43)-(28-42)-(27-48)-(26-31)-(24-58)-(23-55)-(21-25)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.0002841949462890625,0.003587961196899414,0,True,0
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(57-59)-(42-44)-(41-47)-(39-45)-(38-58)-(35-53)-(31-56)-(29-43)-(28-46)-(27-48)-(24-55)-(23-26)-(21-25)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.0002799034118652344,0.024494171142578125,4,True,4
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(57-59)-(42-44)-(41-47)-(39-45)-(38-58)-(35-53)-(31-56)-(29-43)-(28-46)-(27-48)-(24-55)-(23-26)-(21-25)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.00027823448181152344,0.012610912322998047,2,True,2
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(46-47)-(41-59)-(39-45)-(38-58)-(35-53)-(31-56)-(29-43)-(28-42)-(27-48)-(25-44)-(24-55)-(23-26)-(21-57)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.0002777576446533203,0.025028705596923828,4,True,4
{?H???E??@??C_??A??G???G?G??G?????????_??_?O??@???G?U?CS???_?@W?@???????kC?GH????@`??_O??G??_?Gg@??OA??A???@?Og@GOA??@??H?@???_???_?CO???C??@??_?OA??O?G??EOG???C?@@?A?O@_??EA?C??O@?A?I????`???GcC?O?cE?C???O@?O??I?AR???????G__A??A??@?@??K??AO???D???C???K????cG@??D??_??_@C????@A?GAC?@????@E????_?A,[(46-47)-(41-59)-(39-45)-(38-58)-(35-53)-(31-56)-(29-43)-(28-42)-(27-48)-(25-44)-(24-55)-(23-26)-(21-57)-(20-30)-(19-36)-(15-32)-(14-16)-(13-40)-(12-52)-(11-18)-(10-17)-(9-22)-(7-37)-(6-49)-(5-8)-(4-54)-(3-34)-(2-33)-(1-51)-(0-50)],0.000286102294921875,0.007919549942016602,1,True,1
