G6,PLI_create_time,solve_time,result,counter,break_type
S???????Fo^?}?}?^??N_@{?Fo?N_?N_?,0.0,37.62844228744507,True,225,None
S???????Fo^?}?}?O{AM_Hk?To?V_?N_?,4.76837158203125e-07,6.094594478607178,True,46,None
S???????Fo^?}?x_[o?r_E[?Fo?N_?N_?,4.76837158203125e-07,4.627100229263306,True,18,None
S???????Fo^?}?x_Yo@R_E[?Fo?N_?N_?,2.384185791015625e-07,0.86328125,True,1,None
S???????Fo^?}?x_[g?x_C{?Jo?N_?N_?,2.384185791015625e-07,5.042248249053955,True,24,None
S???????Fo^?}?x_[g?t_D[?Jo?N_?N_?,2.384185791015625e-07,1.350092887878418,True,7,None
S???????Fo^?}?x_Yg@p_A{?Fo?N_?N_?,4.76837158203125e-07,8.339705467224121,True,46,None
S???????Fo^?}?x_Yg@T_E[?Fo?N_?N_?,2.384185791015625e-07,1.827928066253662,True,12,None
S???????Fo^?}?x_Yg?t_I[?Fo?N_?N_?,4.76837158203125e-07,0.7111048698425293,True,1,None
S???????Fo^?}?x_RgAL_D[?bo?V_?N_?,2.384185791015625e-07,1.5104680061340332,True,33,None
S???????Fo^?}?x_RgAL_C{?do?V_?N_?,2.384185791015625e-07,0.7944815158843994,True,5,None
S???????Fo^?}?x_[K?m_Dk?Lo?V_?N_?,2.384185791015625e-07,0.9551379680633545,True,2,None
S???????Fo^?}?x_[K?m_D[?Mo?V_?N_?,2.384185791015625e-07,1.0687503814697266,True,16,None
S???????Fo^?}?x_YK@w_A{?Fo?N_?N_?,2.384185791015625e-07,1.7611608505249023,True,8,None
S???????Fo^?}?x_YK@k_B[?Jo?N_?N_?,2.384185791015625e-07,1.265014886856079,True,2,None
S???????Fo^?}?x_YK@[_E[?Fo?N_?N_?,2.384185791015625e-07,4.917985677719116,True,51,None
S???????Fo^?}?x_YK@[_B[?Ro?N_?N_?,2.384185791015625e-07,1.5372920036315918,True,5,None
S???????Fo^?}?x_RKAM_Hk?To?V_?N_?,9.5367431640625e-07,0.9395902156829834,True,7,None
S???????Fo^?}?x_RK?m_Pk?do?V_?N_?,2.384185791015625e-07,0.10389065742492676,True,1,None
S???????Fo^?}?x_RK?m_P[?Mo@F_?N_?,0.0,1.5845494270324707,True,6,None
S???????Fo^?}?x_Wk@w_C{?Jo?N_?N_?,2.384185791015625e-07,3.6751413345336914,True,31,None
S???????Fo^?}?x_Wk@s_C{?Lo?N_?N_?,2.384185791015625e-07,5.990977764129639,True,66,None
S???????Fo^?}?x_Wk@k_E[?Jo?N_?N_?,2.384185791015625e-07,5.193055868148804,True,26,None
S???????Fo^?}?x_Wk@i_Dk?Jo?V_?N_?,2.384185791015625e-07,5.425907373428345,True,24,None
S???????Fo^?}?x_Wk@i_Bk?Jo?f_?N_?,2.384185791015625e-07,1.0687973499298096,True,4,None
S???????Fo^?}?x_Wk@e_C{?Mo?Z_?N_?,4.76837158203125e-07,1.0764992237091064,True,4,None
S???????Fo^?}?x_Wk?m_E[?eo?V_?N_?,4.76837158203125e-07,0.7485103607177734,True,1,None
S???????Fo^?}?x_Wk?m_E[?Mo@F_?N_?,2.384185791015625e-07,0.99774169921875,True,5,None
S???????Fo^?}?x_Wk@b_Bs?Mo?f_?N_?,4.76837158203125e-07,2.217226505279541,True,8,None
S???????Fo^?}?x_Wk?f_Fc?bo?Z_?N_?,2.384185791015625e-07,2.284553050994873,True,6,None
S???????Fo^?}?x_QkAw_G{?Jo?N_?N_?,2.384185791015625e-07,0.3629951477050781,True,1,None
S???????Fo^?}?x_QkAs_I[?Fo?N_?N_?,2.384185791015625e-07,5.38492751121521,True,31,None
S???????Fo^?}?x_QkAs_G{?Lo?N_?N_?,4.76837158203125e-07,0.08114314079284668,True,1,None
S???????Fo^?}?x_QkAs_A{?do?N_?N_?,4.76837158203125e-07,6.696716070175171,True,40,None
S???????Fo^?}?x_QkA[_E[?bo?N_?N_?,4.76837158203125e-07,0.5897641181945801,True,8,None
S???????Fo^?}?x_QkAq_Ik?Fo?N_?N_?,2.384185791015625e-07,2.24859881401062,True,20,None
S???????Fo^?}?x_QkAq_Hk?Jo?N_?N_?,2.384185791015625e-07,2.298814535140991,True,20,None
S???????Fo^?}?x_QkAq_Bk?bo?N_?N_?,2.384185791015625e-07,4.579538583755493,True,23,None
S???????Fo^?}?x_QkAY_Ek?bo?N_?N_?,2.384185791015625e-07,0.8197011947631836,True,3,None
S???????Fo^?}?x_QkAY_Hk?Ro?V_?N_?,2.384185791015625e-07,1.082643747329712,True,4,None
S???????Fo^?}?x_QkAU_FK?bo?N_?N_?,2.384185791015625e-07,1.401486873626709,True,5,None
S???????Fo^?}?x_QkAU_Hk?To?V_?N_?,4.76837158203125e-07,3.656792163848877,True,12,None
S???????Fo^?}?x_QkAU_Hk?Lo?f_?N_?,4.76837158203125e-07,1.3896479606628418,True,14,None
S???????Fo^?}?x_QkAU_E[?eo?N_?N_?,2.384185791015625e-07,1.9320721626281738,True,14,None
S???????Fo^?}?x_QkAM_FK?bo?V_?N_?,4.76837158203125e-07,0.49799585342407227,True,2,None
S???????Fo^?}?x_QkAM_Ek?do?V_?N_?,2.384185791015625e-07,3.683119773864746,True,29,None
S???????Fo^?}?x_QkAM_Ek?bo?Z_?N_?,2.384185791015625e-07,5.337082862854004,True,23,None
S???????Fo^?}?x_QkAM_E[?eo?V_?N_?,4.76837158203125e-07,2.402277946472168,True,19,None
S???????Fo^?}?x_QkAM_E[?Mo@F_?N_?,2.384185791015625e-07,0.8875949382781982,True,6,None
S???????Fo^?}?x_Qk?m_RK?bo?V_?N_?,2.384185791015625e-07,2.5706210136413574,True,4,None
S???????Fo^?}?x_Qk?m_Qk?do?V_?N_?,2.384185791015625e-07,1.2687342166900635,True,10,None
S???????Fo^?}?x_Qk?m_Qk?bo?Z_?N_?,2.384185791015625e-07,4.7329933643341064,True,27,None
S???????Fo^?}?x_Qk?m_Q[?eo?V_?N_?,4.76837158203125e-07,0.6904013156890869,True,1,None
S???????Fo^?}?x_Qk?j_Rc?bo?V_?N_?,4.76837158203125e-07,0.5143802165985107,True,2,None
S???????Fo^?}?x_Qk?f_Rc?do?V_?N_?,2.384185791015625e-07,4.355789422988892,True,19,None
S???????Fo^?}?x_Qk?f_Rc?bo?Z_?N_?,2.384185791015625e-07,0.4162864685058594,True,2,None
S???????Fo^?}?x_O{Ak_E[?do?V_?N_?,2.384185791015625e-07,1.2418477535247803,True,6,None
S???????Fo^?}?po[o@b_E[?Mo?N_?N_?,2.384185791015625e-07,3.600013494491577,True,9,None
S???????Fo^?}?poUoBP_E[?Fo?N_?N_?,2.384185791015625e-07,5.835037708282471,True,43,None
S???????Fo^?}?poUoBP_D[?Jo?N_?N_?,4.76837158203125e-07,0.8155529499053955,True,6,None
S???????Fo^?}?poSwB`_FK?Jo?N_?N_?,4.76837158203125e-07,0.6857068538665771,True,2,None
S???????Fo^?}?poSwB`_Dk?Lo?V_?N_?,2.384185791015625e-07,4.891616106033325,True,34,None
S???????Fo^?}?poWs@k_I[?Xo?N_?N_?,2.384185791015625e-07,1.3891561031341553,True,11,None
S???????Fo^?}?poWs@k_I[?Lo?f_?N_?,2.384185791015625e-07,2.682866096496582,True,16,None
S???????Fo^?}?poWs@i_I[?Ro?\\_?N_?,4.76837158203125e-07,2.103053092956543,True,20,None
S???????Fo^?}?poWs@i_I[?Jo?l_?N_?,4.76837158203125e-07,1.3850672245025635,True,7,None
S???????Fo^?}?poWs@J_NC?Ro?V_?N_?,4.76837158203125e-07,1.0745258331298828,True,5,None
S???????Fo^?}?poWs@J_MS?Ro?\\_?N_?,2.384185791015625e-07,2.0664095878601074,True,6,None
S???????Fo^?}?poSsBo_D[?Jo?N_?N_?,2.384185791015625e-07,1.0358104705810547,True,4,None
S???????Fo^?}?poSsBg_E[?Jo?N_?N_?,4.76837158203125e-07,4.946716547012329,True,32,None
S???????Fo^?}?poSsBg_D[?Jo?V_?N_?,2.384185791015625e-07,3.5421369075775146,True,15,None
S???????Fo^?}?poSsBg_C{?Lo?V_?N_?,4.76837158203125e-07,1.3411450386047363,True,6,None
S???????Fo^?}?poSsBK_E[?Xo?N_?N_?,2.384185791015625e-07,3.834791421890259,True,16,None
S???????Fo^?}?poSsBK_E[?To?V_?N_?,4.76837158203125e-07,1.3219144344329834,True,9,None
S???????Fo^?}?poSsAk_I[?Xo?N_?N_?,2.384185791015625e-07,1.4449231624603271,True,5,None
S???????Fo^?}?poSsAk_I[?Lo?f_?N_?,2.384185791015625e-07,0.8445391654968262,True,2,None
S???????Fo^?}?poSsBa_FK?Jo?N_?N_?,2.384185791015625e-07,2.2895500659942627,True,7,None
S???????Fo^?}?poSsBa_E[?Mo?N_?N_?,4.76837158203125e-07,0.5700798034667969,True,2,None
S???????Fo^?}?poSsBa_D[?Jo?\\_?N_?,7.152557373046875e-07,3.0138776302337646,True,28,None
S???????Fo^?}?poSsBa_B[?Jo?l_?N_?,4.76837158203125e-07,0.8534348011016846,True,8,None
S???????Fo^?}?poSsAi_LK?Jo?V_?N_?,2.384185791015625e-07,1.0051946640014648,True,10,None
S???????Fo^?}?poSsAi_JK?Ro?V_?N_?,4.76837158203125e-07,2.430833101272583,True,18,None
S???????Fo^?}?poSsAi_Ik?Xo?N_?N_?,2.384185791015625e-07,5.038741827011108,True,27,None
S???????Fo^?}?poSsAi_Ik?To?V_?N_?,2.384185791015625e-07,1.6480493545532227,True,6,None
S???????Fo^?}?poSsAi_Ik?Lo?f_?N_?,2.384185791015625e-07,1.3023383617401123,True,5,None
S???????Fo^?}?poSsAi_Ek?ho?N_?N_?,4.76837158203125e-07,1.1849377155303955,True,9,None
S???????Fo^?}?poSsAi_Ek?bo?Z_?N_?,2.384185791015625e-07,0.5072958469390869,True,3,None
S???????Fo^?}?poSsAi_Ek?Jo@J_?N_?,2.384185791015625e-07,1.093073844909668,True,6,None
S???????Fo^?}?poUEBP_Fo?Fo?N_?N_?,2.384185791015625e-07,4.04987645149231,True,18,None
S???????Fo^?}?poUEBP_Dw?NO?N_?N_?,2.384185791015625e-07,4.865911245346069,True,28,None
S???????Fo^?}?poUEAX_Jo?Ro?N_?N_?,4.76837158203125e-07,2.2511520385742188,True,15,None
S???????Fo^?}?poUE@X_Ro?Ro?N_?N_?,2.384185791015625e-07,1.692413330078125,True,8,None
S???????Fo^?}?poUEAL_Jo?To?V_?N_?,2.384185791015625e-07,0.8685188293457031,True,11,None
S???????Fo^?}?poUEAL_JW?Ro?]_?N_?,2.384185791015625e-07,1.1526556015014648,True,5,None
S???????Fo^?}?poUEAL_JW?Jo?m_?N_?,4.76837158203125e-07,1.6628825664520264,True,4,None
S???????Fo^?}?poUEAL_I[?V_?]_?N_?,2.384185791015625e-07,5.157066345214844,True,26,None
S???????Fo^?}?poUE@L_Ro?To?V_?N_?,4.76837158203125e-07,0.8333842754364014,True,2,None
S???????Fo^?}?poUE@L_RW?Ro?]_?N_?,9.5367431640625e-07,1.6686275005340576,True,8,None
S???????Fo^?}?poUE@L_RW?Jo?m_?N_?,4.76837158203125e-07,2.9170587062835693,True,27,None
S???????Fo^?}?poUE@L_Q[?V_?]_?N_?,2.384185791015625e-07,0.49228525161743164,True,1,None
S???????Fo^?}?poUE@L_E[@F_?]_?N_?,2.384185791015625e-07,1.1016480922698975,True,2,None
S???????Fo^?}?poOuBk?I[?To?V_?N_?,2.384185791015625e-07,0.06401848793029785,True,1,None
S???????Fo^?}?poOuBJ?NC?Ro?V_?N_?,4.76837158203125e-07,0.4496777057647705,True,4,None
S???????Fo^?}?poOuAL_LW?Lo@U_?f_?,2.384185791015625e-07,2.278601884841919,True,8,None
S???????Fo^?}?poOuAJ_Lg?lO?f_?V_?,4.76837158203125e-07,3.6806814670562744,True,15,None
S???????Fo^?}?poOuAJ_Lg?Lo@U_?f_?,2.384185791015625e-07,1.215867042541504,True,7,None
S???????Fo^?}?poOuAJ_LK?n??f_?V_?,2.384185791015625e-07,1.6591901779174805,True,13,None
S???????Fo^?}?poOu@J_Lg?NOAR_?f_?,4.76837158203125e-07,1.4774436950683594,True,5,None
S???????Fo^?}?`wOyBL?TS?Mo@R_?f_?,4.76837158203125e-07,3.47798752784729,True,35,None
S???????Fo^?}?`wOyAN?XK?bo?{_?r_?,4.76837158203125e-07,1.2771446704864502,True,14,None
S???????Fo^?}?`wOyAL_\\O?Lo@T_?f_?,2.384185791015625e-07,1.1331522464752197,True,9,None
S???????Fo^?}?`wOyAL_XW?]O?r_@F_?,2.384185791015625e-07,2.269839286804199,True,10,None
S???????Fo^?x_|?^??r_A{?Fo?N_?N_?,2.384185791015625e-07,0.9016604423522949,True,6,None
S???????Fo^?x_|?]_?r_A{?Jo?N_?N_?,2.384185791015625e-07,5.3244102001190186,True,23,None
S???????Fo^?x_|?[o?r_E[?Jo?N_?N_?,7.152557373046875e-07,3.730368137359619,True,11,None
S???????Fo^?x_|?\\G?t_E[?Fo?N_?N_?,2.384185791015625e-07,0.9180426597595215,True,5,None
S???????Fo^?x_|?\\G?t_C{?Lo?N_?N_?,4.76837158203125e-07,7.469806432723999,True,44,None
S???????Fo^?x_|?\\G?r_C{?Mo?N_?N_?,2.384185791015625e-07,4.829910516738892,True,23,None
S???????Fo^?x_|?\\G?r_A{?Uo?N_?N_?,2.384185791015625e-07,1.3932135105133057,True,10,None
S???????Fo^?x_|?\\G?V_FK?Ro?N_?N_?,2.384185791015625e-07,0.7934174537658691,True,14,None
S???????Fo^?x_|?\\G?V_Ek?To?N_?N_?,2.384185791015625e-07,5.615907907485962,True,29,None
S???????Fo^?x_|?ZG@T_A{?To?N_?N_?,2.384185791015625e-07,1.0533013343811035,True,4,None
S???????Fo^?x_|?ZG?t_A{?do?N_?N_?,7.152557373046875e-07,1.7103631496429443,True,15,None
S???????Fo^?x_|?ZG?r_A{?eo?N_?N_?,4.76837158203125e-07,1.1990339756011963,True,16,None
S???????Fo^?x_|?[g?t_E[?Jo?N_?N_?,2.384185791015625e-07,1.0676913261413574,True,6,None
S???????Fo^?x_|?Xg@p_A{?Ro?N_?N_?,2.384185791015625e-07,1.490471363067627,True,5,None
S???????Fo^?x_|?RgAp_A{?bo?N_?N_?,4.76837158203125e-07,2.3768677711486816,True,18,None
S???????Fo^?x_|?RgAh_A{?Jo@F_?N_?,4.76837158203125e-07,1.479034662246704,True,10,None
S???????Fo^?x_|?RgAd_I[?Jo?N_?N_?,4.76837158203125e-07,5.546229124069214,True,27,None
S???????Fo^?x_|?RgAd_H[?Jo?V_?N_?,2.384185791015625e-07,1.3533313274383545,True,11,None
S???????Fo^?x_|?RgAb_Ik?Jo?N_?N_?,2.384185791015625e-07,6.015559196472168,True,54,None
S???????Fo^?x_|?RgAb_Hk?Jo?V_?N_?,2.384185791015625e-07,3.2704944610595703,True,12,None
S???????Fo^?x_|?[K?u_Bk?Lo?f_?N_?,4.76837158203125e-07,2.566166639328003,True,19,None
S???????Fo^?x_|?[K?m_Ek?Lo?V_?N_?,4.76837158203125e-07,1.8413631916046143,True,21,None
S???????Fo^?x_|?[K?j_Es?Mo?V_?N_?,4.76837158203125e-07,4.923251152038574,True,32,None
S???????Fo^?x_|?YK@w_A{?Jo?N_?N_?,7.152557373046875e-07,1.2601594924926758,True,13,None
S???????Fo^?x_|?YK@s_B[?Jo?N_?N_?,2.384185791015625e-07,2.9627068042755127,True,24,None
S???????Fo^?x_|?YK@k_B[?Jo?V_?N_?,4.76837158203125e-07,3.069610834121704,True,21,None
S???????Fo^?x_|?YK@[_E[?Jo?N_?N_?,2.384185791015625e-07,2.377091884613037,True,15,None
S???????Fo^?x_|?YK@e_Bk?Lo?V_?N_?,2.384185791015625e-07,1.5995850563049316,True,13,None
S???????Fo^?x_|?YK@U_Bk?Lo?f_?N_?,2.384185791015625e-07,1.2289469242095947,True,5,None
S???????Fo^?x_|?YK?u_B[?Mo@F_?N_?,2.384185791015625e-07,1.5077810287475586,True,6,None
S???????Fo^?x_|?YK@M_Ek?Lo?V_?N_?,4.76837158203125e-07,0.8555612564086914,True,7,None
S???????Fo^?x_|?YK?m_Ik?Lo?V_?N_?,2.384185791015625e-07,2.0948193073272705,True,5,None
S???????Fo^?x_|?YK@J_Es?Mo?V_?N_?,7.152557373046875e-07,1.0955159664154053,True,5,None
S???????Fo^?x_|?YK?j_Is?Mo?V_?N_?,4.76837158203125e-07,2.7017881870269775,True,7,None
S???????Fo^?x_|?XK@w_A{?Ro?N_?N_?,2.384185791015625e-07,2.849438190460205,True,20,None
S???????Fo^?x_|?XK@s_D[?Jo?N_?N_?,2.384185791015625e-07,4.7723329067230225,True,12,None
S???????Fo^?x_|?XK@s_B[?Ro?N_?N_?,2.384185791015625e-07,2.4123098850250244,True,6,None
S???????Fo^?x_|?XK@k_E[?Jo?N_?N_?,2.384185791015625e-07,5.933139801025391,True,50,None
S???????Fo^?x_|?XK@k_D[?Jo?V_?N_?,4.76837158203125e-07,5.480835437774658,True,45,None
S???????Fo^?x_|?XK@[_E[?Ro?N_?N_?,2.384185791015625e-07,5.298532009124756,True,18,None
S???????Fo^?x_|?XK?{_D[?Jo@F_?N_?,2.384185791015625e-07,1.9066810607910156,True,8,None
S???????Fo^?x_|?XK?{_B[?Ro@F_?N_?,2.384185791015625e-07,6.213316440582275,True,27,None
S???????Fo^?x_|?XK@i_Bk?Jo?f_?N_?,2.384185791015625e-07,2.1149544715881348,True,8,None
S???????Fo^?x_|?XK@Y_A{?Uo?f_?N_?,2.384185791015625e-07,5.615593433380127,True,22,None
S???????Fo^?x_|?XK@e_Dk?Lo?V_?N_?,7.152557373046875e-07,0.6446108818054199,True,3,None
S???????Fo^?x_|?XK@e_Bk?Lo?f_?N_?,7.152557373046875e-07,1.5289969444274902,True,13,None
S???????Fo^?x_|?XK@e_D[?Mo?V_?N_?,2.384185791015625e-07,0.2438969612121582,True,1,None
S???????Fo^?x_|?XK@U_Bk?To?f_?N_?,2.384185791015625e-07,0.7956814765930176,True,1,None
S???????Fo^?x_|?XK@U_B[?Uo?f_?N_?,2.384185791015625e-07,5.437603950500488,True,36,None
S???????Fo^?x_|?XK@M_Dk?Xo?V_?N_?,4.76837158203125e-07,1.5761423110961914,True,19,None
S???????Fo^?x_|?XK?m_D[?io?V_?N_?,4.76837158203125e-07,0.627082347869873,True,2,None
S???????Fo^?x_|?XK?]_E[?eo?f_?N_?,2.384185791015625e-07,2.823079824447632,True,20,None
S???????Fo^?x_|?XK?]_E[?Uo@F_?N_?,2.384185791015625e-07,0.7180790901184082,True,6,None
S???????Fo^?x_|?XK@b_Bs?Mo?f_?N_?,2.384185791015625e-07,0.7704989910125732,True,7,None
S???????Fo^?x_|?RKAq_Hk?Jo?N_?N_?,2.384185791015625e-07,2.6917741298675537,True,18,None
S???????Fo^?x_|?RKAq_Bk?bo?N_?N_?,2.384185791015625e-07,3.028715133666992,True,31,None
S???????Fo^?x_|?RKAY_Dk?Jo@F_?N_?,2.384185791015625e-07,1.4393587112426758,True,16,None
S???????Fo^?x_|?RKAY_Bk?Ro@F_?N_?,2.384185791015625e-07,0.9405696392059326,True,6,None
S???????Fo^?x_|?RK?y_Qk?bo?N_?N_?,2.384185791015625e-07,1.1088626384735107,True,3,None
S???????Fo^?x_|?RK?y_Pk?Jo@F_?N_?,2.384185791015625e-07,4.352963924407959,True,25,None
S???????Fo^?x_|?RK?y_Bk@Bo@F_?N_?,7.152557373046875e-07,4.989355564117432,True,26,None
S???????Fo^?x_|?RKAe_Ik?Lo?N_?N_?,2.384185791015625e-07,1.6039605140686035,True,13,None
S???????Fo^?x_|?RKAe_Hk?Lo?V_?N_?,2.384185791015625e-07,4.539661407470703,True,24,None
S???????Fo^?x_|?RKAe_I[?Mo?N_?N_?,4.76837158203125e-07,5.350184202194214,True,23,None
S???????Fo^?x_|?RKAe_H[?Mo?V_?N_?,4.76837158203125e-07,5.862020015716553,True,60,None
S???????Fo^?x_|?RKAe_B[?Mo@F_?N_?,2.384185791015625e-07,1.357579231262207,True,3,None
S???????Fo^?x_|?RK?m_Pk?ho?V_?N_?,2.384185791015625e-07,1.410057544708252,True,10,None
S???????Fo^?x_|?RK?m_P[?io?V_?N_?,2.384185791015625e-07,2.106701374053955,True,31,None
S???????Fo^?x_|?RK?m_P[?Mo@F_?V_?,4.76837158203125e-07,0.6574676036834717,True,2,None
S???????Fo^?x_|?RKAb_Jc?Jo?N_?N_?,2.384185791015625e-07,6.195176601409912,True,59,None
S???????Fo^?x_|?RKAb_Hs?Mo?V_?N_?,2.384185791015625e-07,1.2730000019073486,True,5,None
S???????Fo^?x_|?RKAb_Bs?Mo@F_?N_?,2.384185791015625e-07,2.3175790309906006,True,11,None
S???????Fo^?x_|?RKAR_Es?eo?N_?N_?,4.76837158203125e-07,3.735903263092041,True,25,None
S???????Fo^?x_|?RKAR_Bs?eo?f_?N_?,4.76837158203125e-07,0.8566162586212158,True,1,None
S???????Fo^?x_|?RKAR_Bs?Uo@F_?N_?,2.384185791015625e-07,6.4001195430755615,True,62,None
S???????Fo^?x_|?RK?r_Qs?eo?N_?N_?,4.76837158203125e-07,1.3102586269378662,True,9,None
S???????Fo^?x_|?RK?r_Bs@Eo@F_?N_?,2.384185791015625e-07,4.25623083114624,True,21,None
S???????Fo^?x_|?Wk@w_A{?Jo?f_?N_?,4.76837158203125e-07,0.6467502117156982,True,1,None
S???????Fo^?x_|?Wk@s_D[?Jo?V_?N_?,2.384185791015625e-07,5.141630172729492,True,25,None
S???????Fo^?x_|?Wk@k_E[?Jo?V_?N_?,2.384185791015625e-07,0.9460396766662598,True,2,None
S???????Fo^?x_|?Wk@q_Bk?Jo?f_?N_?,2.384185791015625e-07,1.0935509204864502,True,14,None
S???????Fo^?x_|?QkAs_I[?Jo?N_?N_?,2.384185791015625e-07,1.7986679077148438,True,17,None
S???????Fo^?x_|?QkAs_H[?Jo?V_?N_?,2.384185791015625e-07,1.546938180923462,True,8,None
S???????Fo^?x_|?QkAs_B[?Jo@F_?N_?,4.76837158203125e-07,1.1373188495635986,True,18,None
S???????Fo^?x_|?Qk?{_Q[?Jo@F_?N_?,2.384185791015625e-07,5.3859193325042725,True,17,None
S???????Fo^?x_|?QkAq_Ik?Jo?N_?N_?,4.76837158203125e-07,1.642887830734253,True,9,None
S???????Fo^?x_|?QkAq_Hk?Jo?V_?N_?,7.152557373046875e-07,1.4960896968841553,True,23,None
S???????Fo^?x_|?QkAq_Bk?Jo@F_?N_?,4.76837158203125e-07,0.8110570907592773,True,6,None
S???????Fo^?x_|?QkAi_Ik?Jo?V_?N_?,2.384185791015625e-07,2.13906192779541,True,7,None
S???????Fo^?x_|?QkAY_Ek?Jo@F_?N_?,2.384185791015625e-07,0.6909346580505371,True,3,None
S???????Fo^?x_|?Qk?y_Qk?Jo@F_?N_?,4.76837158203125e-07,1.1983788013458252,True,5,None
S???????Fo^?x_|?QkAe_Ik?Lo?V_?N_?,2.384185791015625e-07,1.2204926013946533,True,6,None
S???????Fo^?x_|?QkAe_I[?Mo?V_?N_?,2.384185791015625e-07,0.7902400493621826,True,10,None
S???????Fo^?x_|?Qk?u_Qk?ho?N_?N_?,2.384185791015625e-07,0.1768343448638916,True,1,None
