G6,PLI_create_time,solve_time,result,counter,break_type
K??FvjkvDwN_,2.384185791015625e-07,0.01307225227355957,True,2,None
K?AFfZ[nBwNO,4.76837158203125e-07,0.011809587478637695,True,1,None
K?AFfT{^EwV_,2.384185791015625e-07,0.04460310935974121,True,2,None
K?AFe\\{^FoV_,4.76837158203125e-07,0.06351804733276367,True,4,None
K?AFb^w^EwV_,2.384185791015625e-07,0.06113910675048828,True,4,None
K?ABrvszEwV_,2.384185791015625e-07,0.15190958976745605,True,14,None
K?AFK~w}BwN_,2.384185791015625e-07,0.023648500442504883,True,5,None
K?BFFrwfbwFo,4.76837158203125e-07,0.04459667205810547,True,4,None
K?BFFrYn@{N_,2.384185791015625e-07,0.02870011329650879,True,1,None
K?BFDx]nBs^?,7.152557373046875e-07,0.010196208953857422,True,2,None
K?BFDvwnA{N_,2.384185791015625e-07,0.04275369644165039,True,2,None
K?BFDtynBwZ_,2.384185791015625e-07,0.011432886123657227,True,1,None
K?BF@}y^FoZ_,2.384185791015625e-07,0.03695940971374512,True,4,None
K?BF@{}}FoZ_,2.384185791015625e-07,0.026259899139404297,True,1,None
K?BDfZ[^BsVO,2.384185791015625e-07,0.07832646369934082,True,2,None
K?BDfVYnBwN_,2.384185791015625e-07,0.02049398422241211,True,1,None
K?BDdvi^BwZ_,2.384185791015625e-07,0.021854877471923828,True,2,None
K?BDe\\{^FoVO,2.384185791015625e-07,0.010442972183227539,True,1,None
K?BDd\\{^Es^?,0.0,0.0380251407623291,True,3,None
K?BDd\\y^FoZ_,0.0,0.05357694625854492,True,3,None
K?BDb\\{nEs^?,4.76837158203125e-07,0.027538776397705078,True,3,None
K?BDb]y^FoZ_,2.384185791015625e-07,0.010351896286010742,True,1,None
K?BD`~i^FoZ_,2.384185791015625e-07,0.010168790817260742,True,1,None
K?BD`|yzFoZ_,2.384185791015625e-07,0.035210371017456055,True,3,None
K?B@vfinBwZ_,2.384185791015625e-07,0.008683204650878906,True,1,None
K?B@tty|FWZ_,2.384185791015625e-07,0.014824390411376953,True,1,None
K?B@tni^FoZ_,0.0,0.034636497497558594,True,4,None
K?B@tnM^Fo^?,0.0,0.06746077537536621,True,2,None
K?B@p~qzFoZ_,0.0,0.11362028121948242,True,5,None
K?B@p~e}FoZ_,2.384185791015625e-07,0.01073002815246582,True,1,None
K?BENrwn@{NO,4.76837158203125e-07,0.04030346870422363,True,3,None
K?BEH{}}Fo^?,2.384185791015625e-07,0.051000118255615234,True,5,None
K?BDLzY}BwNO,2.384185791015625e-07,0.03455495834350586,True,4,None
K?BDJz[]foVO,2.384185791015625e-07,0.1553201675415039,True,9,None
K?BDK|{]fo^?,2.384185791015625e-07,0.036238670349121094,True,2,None
K?BDI|{}FoVO,2.384185791015625e-07,0.013428449630737305,True,2,None
K?BDI|y}FoV_,0.0,0.01079559326171875,True,1,None
K?B@nZ[mfoNO,2.384185791015625e-07,0.023693323135375977,True,3,None
K?B@nY{ufoNO,0.0,0.1171884536743164,True,5,None
K?B@lx{}FSZO,0.0,0.04689478874206543,True,4,None
K?B@m]{}FoNO,2.384185791015625e-07,0.04952549934387207,True,4,None
K?B@m[}}Fo^?,2.384185791015625e-07,0.1476755142211914,True,10,None
K?B@l\\]}Fo^?,2.384185791015625e-07,0.019298076629638672,True,2,None
K?BFfRYn@yN_,2.384185791015625e-07,0.005674123764038086,True,1,None
K?BFfQynAyN_,2.384185791015625e-07,0.0390925407409668,True,4,None
K?BDvbkvBwFW,2.384185791015625e-07,0.02777719497680664,True,3,None
K?BDtre}AyN_,0.0,0.012598514556884766,True,1,None
K?BDrqyxRwZ_,2.384185791015625e-07,0.06529545783996582,True,3,None
K?BDrquyRwZ_,0.0,0.01716160774230957,True,2,None
K?BDvH{^EqVO,2.384185791015625e-07,0.04590034484863281,True,3,None
K?BFMo}nBq^?,2.384185791015625e-07,0.09882116317749023,True,5,None
K?BFKx{]foVG,2.384185791015625e-07,0.11942291259765625,True,11,None
K?BFHzYnFoNG,2.384185791015625e-07,0.012473106384277344,True,1,None
K?BFHy]}FoNG,2.384185791015625e-07,0.0059969425201416016,True,1,None
K?BFHw}}FoZG,2.384185791015625e-07,0.01316213607788086,True,4,None
K?BDnP{^EqVO,9.5367431640625e-07,0.11898541450500488,True,7,None
K?BDnP{^DqZO,2.384185791015625e-07,0.04798293113708496,True,2,None
K?BDnP]nBq^?,2.384185791015625e-07,0.08393621444702148,True,11,None
K?BDnRX}@{N_,4.76837158203125e-07,0.04457402229309082,True,5,None
K?BDlpl]foZ_,2.384185791015625e-07,0.03145432472229004,True,6,None
K?BDjrkvBqVO,1.6689300537109375e-06,0.03204917907714844,True,2,None
K?BDjrMnFoNG,2.384185791015625e-07,0.02428150177001953,True,4,None
K?BDjrM^Dq^?,2.384185791015625e-07,0.012306928634643555,True,2,None
K?BDjqm]VoZ_,2.384185791015625e-07,0.04007720947265625,True,6,None
K?BDjpxydwZ_,0.0,0.06544375419616699,True,6,None
K?BDlZY}BwNG,4.76837158203125e-07,0.08503508567810059,True,5,None
K?BDlXy]VoZ_,2.384185791015625e-07,0.16138267517089844,True,17,None
K?BDjYy]VoZ_,2.384185791015625e-07,0.03615903854370117,True,2,None
K?BDjX]mVo^?,2.384185791015625e-07,0.06140542030334473,True,5,None
K?BDjW}uVo^?,2.384185791015625e-07,0.019546985626220703,True,4,None
K?BDhzi^Eq^?,2.384185791015625e-07,0.010912418365478516,True,1,None
K?BDhxyyVoZ_,4.76837158203125e-07,0.011113166809082031,True,1,None
K?BDhxxyfoZ_,2.384185791015625e-07,0.015325546264648438,True,2,None
K?B@~bkvDqNO,2.384185791015625e-07,0.0207369327545166,True,3,None
K?B@|px{fWZ_,2.384185791015625e-07,0.013396263122558594,True,1,None
K?B@|pxxfoZ_,2.384185791015625e-07,0.011499404907226562,True,1,None
K?BfEq{fbsNG,2.384185791015625e-07,0.04126906394958496,True,6,None
K?BfEo}nBsZG,2.384185791015625e-07,0.012035608291625977,True,3,None
K?BfEo}NfoZG,2.384185791015625e-07,0.04639744758605957,True,5,None
K?BefQx}@{Jo,0.0,0.017702102661132812,True,3,None
K?BefQxfbwNO,2.384185791015625e-07,0.018217086791992188,True,4,None
K?BedrM^BsVG,2.384185791015625e-07,0.017309904098510742,True,5,None
K?BedpmvBsVG,2.384185791015625e-07,0.054882049560546875,True,3,None
K?Bedpm^DqZO,2.384185791015625e-07,0.05693554878234863,True,6,None
K?Bedpm]dwZG,2.384185791015625e-07,0.012261152267456055,True,3,None
K?BedpmVfoVG,0.0,0.06014418601989746,True,6,None
K?Bedo}zBqZO,2.384185791015625e-07,0.024163484573364258,True,3,None
K?Bedo}^FQZO,0.0,0.011076927185058594,True,2,None
K?BedpxvDsLo,2.384185791015625e-07,0.012584209442138672,True,2,None
K?BeeW}mRs^?,2.384185791015625e-07,0.02766108512878418,True,3,None
K?Becy{]Rs\\O,0.0,0.02746415138244629,True,2,None
K?Beczi]bwVG,2.384185791015625e-07,0.03290200233459473,True,4,None
K?Becxm]foVG,2.384185791015625e-07,0.009866714477539062,True,2,None
K?Becw}]fQ^?,2.384185791015625e-07,0.04286694526672363,True,3,None
K?Becw}Yvo^?,2.384185791015625e-07,0.06754541397094727,True,3,None
K?Bcvb[nBUNO,2.384185791015625e-07,0.011136531829833984,True,1,None
K?Bcv`{^Cu\\O,2.384185791015625e-07,0.09239864349365234,True,4,None
K?Bcv`m^EqVO,0.0,0.14680933952331543,True,15,None
K?Bcv`]zBqVO,0.0,0.034941911697387695,True,3,None
K?Bcv`]^FQVO,2.384185791015625e-07,0.01288294792175293,True,1,None
K?Bcv`xZewVO,2.384185791015625e-07,0.04170370101928711,True,4,None
K?Bcv`lvBsVO,4.76837158203125e-07,0.01946711540222168,True,2,None
K?Bcv`\\nFSNO,4.76837158203125e-07,0.012667417526245117,True,3,None
K?Bcv`Z^Dw\\O,2.384185791015625e-07,0.08324384689331055,True,8,None
K?BcrrevBsVG,4.76837158203125e-07,0.023372173309326172,True,5,None
K?Bcrre^EqVO,0.0,0.009262800216674805,True,1,None
K?Bcrre]foRg,0.0,0.03504228591918945,True,2,None
K?BcrreffoNG,4.76837158203125e-07,0.01417398452758789,True,1,None
K?BcrrUzBqVO,0.0,0.015044689178466797,True,1,None
K?BcrrUnFSNG,4.76837158203125e-07,0.01868152618408203,True,2,None
K?BcrrUjfoNG,2.384185791015625e-07,0.0891423225402832,True,8,None
K?BcrpuyfoRg,2.384185791015625e-07,0.013767004013061523,True,2,None
K?BcrpxxewVO,7.152557373046875e-07,0.10305976867675781,True,12,None
K?BcrptzEsVO,2.384185791015625e-07,0.046535491943359375,True,5,None
K?Bcrp\\mfc\\_,2.384185791015625e-07,0.012646198272705078,True,2,None
K?BcvH{uRsVO,2.384185791015625e-07,0.027760744094848633,True,2,None
K?BcvH{]UsVO,0.0,0.061530113220214844,True,3,None
K?BcvH{ers^?,2.384185791015625e-07,0.013175725936889648,True,3,None
K?BcvH]mRs^?,2.384185791015625e-07,0.05994892120361328,True,5,None
K?BcvH]]VoVO,0.0,0.028655529022216797,True,2,None
K?BcvH]Mvo^?,2.384185791015625e-07,0.014111518859863281,True,2,None
K?BcvI\\]bs^?,2.384185791015625e-07,0.00965428352355957,True,1,None
K?BcvH\\]foVO,2.384185791015625e-07,0.14634013175964355,True,14,None
K?Bcuh{yRsVO,2.384185791015625e-07,0.01056671142578125,True,1,None
K?BcuhmmVoNO,2.384185791015625e-07,0.015268564224243164,True,1,None
K?Bcuil]bs^?,2.384185791015625e-07,0.10692906379699707,True,3,None
K?Bcug|yfoNO,2.384185791015625e-07,0.11962652206420898,True,9,None
K?BcuhjnFoNO,2.384185791015625e-07,0.049242496490478516,True,4,None
K?BcuhjNfo^?,2.384185791015625e-07,0.1089472770690918,True,9,None
K?BcugzyfoN_,2.384185791015625e-07,0.010167598724365234,True,2,None
K?BcugzZfo^?,2.384185791015625e-07,0.03236246109008789,True,2,None
K?BcrjM]foVG,4.76837158203125e-07,0.0313115119934082,True,4,None
K?BcrjMMvo^?,2.384185791015625e-07,0.03471946716308594,True,8,None
K?BcrhmuVoVO,2.384185791015625e-07,0.03633570671081543,True,5,None
K?BcrhlufoVO,4.76837158203125e-07,0.10514020919799805,True,8,None
K?Bcri\\ybs^?,2.384185791015625e-07,0.06216120719909668,True,4,None
K?BcriN]fo^?,2.384185791015625e-07,0.010538578033447266,True,1,None
K?Bcsxu]fQ^?,2.384185791015625e-07,0.017455577850341797,True,1,None
K?BcsxuYvo^?,2.384185791015625e-07,0.01877760887145996,True,2,None
K?Bcsxr^Fo\\O,2.384185791015625e-07,0.030148983001708984,True,4,None
K?Bcsxr]fo\\_,2.384185791015625e-07,0.011147260665893555,True,3,None
K?Bcqxymfa\\_,0.0,0.012536048889160156,True,1,None
K?BcqzemfoNG,2.384185791015625e-07,0.011627912521362305,True,2,None
K?Bcqze]dq^?,2.384185791015625e-07,0.05990290641784668,True,8,None
K?BcqxrzFoVO,2.384185791015625e-07,0.043074846267700195,True,4,None
K?BcqxrnFS^?,2.384185791015625e-07,0.10796141624450684,True,7,None
K?BevbgfPxNO,2.384185791015625e-07,0.11838197708129883,True,12,None
K?BfMqwfbqNC,0.0,0.08742856979370117,True,7,None
K?BfMqwVbqVC,2.384185791015625e-07,0.010525703430175781,True,1,None
K?BenRWnBpFW,2.384185791015625e-07,0.057547569274902344,True,1,None
K?BenQwuP{NC,2.384185791015625e-07,0.0646657943725586,True,7,None
K?BelpwrdqNC,0.0,0.05236458778381348,True,7,None
K?BelpwjeqNC,2.384185791015625e-07,0.02745532989501953,True,4,None
K?BelpwjbqZC,2.384185791015625e-07,0.011717081069946289,True,2,None
K?Bc~bWmRTN_,0.0,0.11363983154296875,True,11,None
K?`FFq{la{N_,2.384185791015625e-07,0.003087759017944336,True,1,None
K?`FBvU^DwV_,0.0,0.0328526496887207,True,6,None
K?`FBtunDwZ_,2.384185791015625e-07,0.015774011611938477,True,4,None
K?`FBt]nDw]_,0.0,0.009418010711669922,True,1,None
K?`FC~wnBwMo,2.384185791015625e-07,0.0034284591674804688,True,1,None
K?`F@{}}FgZ_,4.76837158203125e-07,0.015063047409057617,True,3,None
K?`Dfq{xa{N_,2.384185791015625e-07,0.01657843589782715,True,2,None
K?`DffM^BwV_,0.0,0.12806940078735352,True,9,None
K?`Dfem^BwZ_,0.0,0.12981247901916504,True,6,None
K?`DfdmnBwZ_,2.384185791015625e-07,0.011633157730102539,True,1,None
K?`Dfc}^FWZ_,2.384185791015625e-07,0.03057694435119629,True,6,None
K?`DfVU^BwV_,2.384185791015625e-07,0.01217198371887207,True,1,None
K?`DfU]|BwN_,2.384185791015625e-07,0.11338591575622559,True,14,None
K?`DbvenBwZ_,2.384185791015625e-07,0.02834033966064453,True,4,None
K?`Dbum|BwZ_,2.384185791015625e-07,0.017728328704833984,True,2,None
K?`DbtmnFgZ_,2.384185791015625e-07,0.01353311538696289,True,2,None
K?`Dblm}DwZ_,2.384185791015625e-07,0.056661367416381836,True,13,None
K?`EVjsn@{NO,2.384185791015625e-07,0.05952858924865723,True,2,None
K?`ETk}}FgN_,2.384185791015625e-07,0.09494400024414062,True,4,None
K?`ERns^DwVO,2.384185791015625e-07,0.014313220977783203,True,1,None
K?`ERlu}DwV_,2.384185791015625e-07,0.031062602996826172,True,2,None
K?`DVdunBwZ_,4.76837158203125e-07,0.07508611679077148,True,6,None
K?`DVc}|BwZ_,2.384185791015625e-07,0.07083296775817871,True,2,None
K?`DUu{|BkN_,2.384185791015625e-07,0.013383150100708008,True,3,None
K?`DRlu}DwZ_,2.384185791015625e-07,0.04951667785644531,True,4,None
K?`FfQ{v@yMo,2.384185791015625e-07,0.08458948135375977,True,11,None
K?`FfRU^@yV_,2.384185791015625e-07,0.01591205596923828,True,2,None
K?`FfQ]nBwMg,2.384185791015625e-07,0.004248619079589844,True,1,None
K?`FfP]|@yV_,2.384185791015625e-07,0.02828192710876465,True,2,None
K?`FfO}fVgN_,2.384185791015625e-07,0.04988384246826172,True,5,None
K?`FfRTn@{N_,2.384185791015625e-07,0.016306400299072266,True,2,None
K?`Fdrkv@yMo,0.0,0.010796308517456055,True,1,None
K?`FdqurRwN_,4.76837158203125e-07,0.015909910202026367,True,2,None
