G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(12-13)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.817413330078125e-05,0.37467169761657715,1,True,0
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(12-13)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.435943603515625e-05,0.10352206230163574,10,False,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(12-15)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.5789947509765625e-05,0.05922508239746094,6,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(12-15)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.435943603515625e-05,0.04089975357055664,4,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(11-12)-(10-15)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.555152893066406e-05,0.03819394111633301,4,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(11-12)-(10-15)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.459785461425781e-05,0.0570530891418457,6,True,0
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(11-12)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.459785461425781e-05,0.1305992603302002,21,False,0
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(11-12)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.53131103515625e-05,0.019733190536499023,1,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(11-15)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.459785461425781e-05,0.03303670883178711,3,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(11-15)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.628036499023438e-05,0.06220054626464844,6,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-15)-(10-11)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.222724914550781e-05,0.050310611724853516,5,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-15)-(10-11)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.5789947509765625e-05,0.05226492881774902,5,True,0
O|fIJC`CGo``?`?w_EW?|,[(11-12)-(10-15)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.412101745605469e-05,0.029030561447143555,2,False,0
O|fIJC`CGo``?`?w_EW?|,[(11-12)-(10-15)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.698204040527344e-05,0.0326845645904541,3,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(10-11)-(9-15)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.5789947509765625e-05,0.02068495750427246,1,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(10-11)-(9-15)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.580352783203125e-05,0.0590357780456543,6,False,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(11-15)-(9-10)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.459785461425781e-05,0.10987305641174316,20,False,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(11-15)-(9-10)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.5789947509765625e-05,0.044116973876953125,5,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(10-11)-(9-15)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],6.604194641113281e-05,0.07476115226745605,15,False,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(10-11)-(9-15)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],6.508827209472656e-05,0.03588247299194336,3,True,0
