G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(14-15)-(13-19)-(12-18)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.937980651855469e-05,0.04453754425048828,5,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(14-15)-(13-19)-(12-18)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.271766662597656e-05,0.05166220664978027,6,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(15-19)-(13-14)-(12-18)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.081031799316406e-05,0.03127884864807129,3,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(15-19)-(13-14)-(12-18)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.081031799316406e-05,0.05710315704345703,6,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(18-19)-(14-15)-(12-13)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.05718994140625e-05,0.0422818660736084,4,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(18-19)-(14-15)-(12-13)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],9.036064147949219e-05,0.026615619659423828,2,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-19)-(14-15)-(12-13)-(11-18)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.104873657226562e-05,0.06730484962463379,7,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-19)-(14-15)-(12-13)-(11-18)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.271766662597656e-05,0.049535274505615234,5,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-19)-(14-15)-(13-18)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.295608520507812e-05,0.02989363670349121,2,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-19)-(14-15)-(13-18)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.033348083496094e-05,0.04838156700134277,5,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-18)-(14-15)-(13-19)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.033348083496094e-05,0.038683176040649414,4,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-18)-(14-15)-(13-19)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.176399230957031e-05,0.03192448616027832,3,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-18)-(15-19)-(13-14)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.152557373046875e-05,0.04549431800842285,5,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-18)-(15-19)-(13-14)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.152557373046875e-05,0.09045815467834473,16,False,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(16-19)-(14-15)-(12-13)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.961822509765625e-05,0.07497835159301758,16,False,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(16-19)-(14-15)-(12-13)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.2479248046875e-05,0.042957305908203125,4,False,0
