G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-21)-(14-15)-(13-20)-(12-19)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.581710815429688e-05,0.025456905364990234,3,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-21)-(14-15)-(13-20)-(12-19)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.034706115722656e-05,0.03302311897277832,4,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-19)-(15-21)-(13-14)-(12-20)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.677078247070312e-05,0.03574967384338379,4,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-19)-(15-21)-(13-14)-(12-20)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.320808410644531e-05,0.0698540210723877,15,False,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-19)-(15-21)-(14-20)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.581710815429688e-05,0.019047260284423828,2,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-19)-(15-21)-(14-20)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.462501525878906e-05,0.040845394134521484,5,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(20-21)-(18-19)-(14-15)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.843971252441406e-05,0.019442319869995117,2,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(20-21)-(18-19)-(14-15)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.7738037109375e-05,0.07869172096252441,16,False,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(19-20)-(18-21)-(14-15)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.581710815429688e-05,0.019912004470825195,2,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(19-20)-(18-21)-(14-15)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],9.34600830078125e-05,0.05873298645019531,7,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-21)-(14-15)-(13-20)-(12-19)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],0.00010514259338378906,0.11786222457885742,20,False,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-21)-(14-15)-(13-20)-(12-19)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.867813110351562e-05,0.009752511978149414,1,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-19)-(15-21)-(13-14)-(12-20)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],0.00012183189392089844,0.02608489990234375,3,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-19)-(15-21)-(13-14)-(12-20)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],9.012222290039062e-05,0.07336282730102539,7,False,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-19)-(15-21)-(14-20)-(12-13)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.390975952148438e-05,0.03710365295410156,5,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(18-19)-(15-21)-(14-20)-(12-13)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.249282836914062e-05,0.04442882537841797,5,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(20-21)-(18-19)-(14-15)-(12-13)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.987022399902344e-05,0.08041572570800781,8,False,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(20-21)-(18-19)-(14-15)-(12-13)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.034706115722656e-05,0.061064720153808594,9,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(19-20)-(18-21)-(14-15)-(12-13)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.724761962890625e-05,0.03691744804382324,5,True,0
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,[(19-20)-(18-21)-(14-15)-(12-13)-(11-17)-(9-10)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.700920104980469e-05,0.04743194580078125,5,False,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(15-21)-(14-20)-(13-19)-(11-18)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.82012939453125e-05,0.04175758361816406,5,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(15-21)-(14-20)-(13-19)-(11-18)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.82012939453125e-05,0.02542400360107422,3,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(20-21)-(14-15)-(13-19)-(11-18)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.581710815429688e-05,0.03654170036315918,4,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(20-21)-(14-15)-(13-19)-(11-18)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],8.726119995117188e-05,0.0333859920501709,4,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(19-20)-(15-21)-(13-14)-(11-18)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.772445678710938e-05,0.025717973709106445,3,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(19-20)-(15-21)-(13-14)-(11-18)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.82012939453125e-05,0.06333184242248535,7,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(18-21)-(14-15)-(13-20)-(11-19)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.748603820800781e-05,0.02623295783996582,3,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(18-21)-(14-15)-(13-20)-(11-19)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],8.058547973632812e-05,0.04486536979675293,5,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(18-20)-(15-21)-(13-14)-(11-19)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.605552673339844e-05,0.01936173439025879,2,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(18-20)-(15-21)-(13-14)-(11-19)-(10-17)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],8.368492126464844e-05,0.12779808044433594,23,False,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(15-17)-(14-21)-(13-20)-(11-19)-(10-18)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.677078247070312e-05,0.019200801849365234,2,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(15-17)-(14-21)-(13-20)-(11-19)-(10-18)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.367134094238281e-05,0.025938749313354492,3,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(17-21)-(14-15)-(13-20)-(11-19)-(10-18)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.748603820800781e-05,0.043108224868774414,5,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(17-21)-(14-15)-(13-20)-(11-19)-(10-18)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.772445678710938e-05,0.026465892791748047,3,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(20-21)-(15-17)-(13-14)-(11-19)-(10-18)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.724761962890625e-05,0.026036739349365234,3,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(20-21)-(15-17)-(13-14)-(11-19)-(10-18)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],7.724761962890625e-05,0.03574085235595703,4,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(18-21)-(15-17)-(14-20)-(13-19)-(10-11)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],8.130073547363281e-05,0.09086394309997559,19,False,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(18-21)-(15-17)-(14-20)-(13-19)-(10-11)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],0.00012159347534179688,0.05548524856567383,7,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(18-20)-(15-17)-(14-21)-(13-19)-(10-11)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],8.082389831542969e-05,0.027720212936401367,3,True,0
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,[(18-20)-(15-17)-(14-21)-(13-19)-(10-11)-(8-9)-(7-16)-(6-12)-(4-5)-(2-3)-(0-1)],0.000141143798828125,0.026597261428833008,3,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(15-21)-(14-20)-(12-13)-(11-19)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.440017700195312e-05,0.02480006217956543,3,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(15-21)-(14-20)-(12-13)-(11-19)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.034706115722656e-05,0.07126450538635254,16,False,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(20-21)-(14-15)-(12-13)-(11-19)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.843971252441406e-05,0.031781673431396484,4,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(20-21)-(14-15)-(12-13)-(11-19)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.153915405273438e-05,0.0340886116027832,4,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(19-20)-(15-21)-(13-14)-(11-12)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.700920104980469e-05,0.02069711685180664,2,False,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(19-20)-(15-21)-(13-14)-(11-12)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.605552673339844e-05,0.026674747467041016,3,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(18-20)-(15-21)-(13-14)-(11-12)-(10-19)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.963180541992188e-05,0.044241905212402344,5,False,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(18-20)-(15-21)-(13-14)-(11-12)-(10-19)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.939338684082031e-05,0.01909613609313965,2,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(18-20)-(15-21)-(13-14)-(12-19)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.700920104980469e-05,0.033815860748291016,4,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(18-20)-(15-21)-(13-14)-(12-19)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],9.393692016601562e-05,0.014034032821655273,1,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(18-19)-(15-21)-(14-20)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.43865966796875e-05,0.05014157295227051,13,False,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(18-19)-(15-21)-(14-20)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.867813110351562e-05,0.0264127254486084,3,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(20-21)-(18-19)-(14-15)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.320808410644531e-05,0.035878658294677734,4,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(20-21)-(18-19)-(14-15)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],8.726119995117188e-05,0.041596174240112305,5,True,0
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,[(17-21)-(14-15)-(13-20)-(11-12)-(10-19)-(9-18)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.772445678710938e-05,0.09888267517089844,19,False,0
