G6,PLI_create_time,solve_time,result,counter,break_type
ScMU?CC@@??\\IAt@HCQDOKCC`Q?Ro?A`W,2.384185791015625e-07,42628.49515104294,True,1510,None
SOMA?C@H??aoO]V?[S?ooGJ@DcC_OsUA?,9.5367431640625e-07,0.38962268829345703,True,157,None
S_`@i[o?G_O_KcAMAL@?SoBCgScWGA?ac,2.384185791015625e-07,1.5920987129211426,True,384,None
S@__AdCOkSRGj?IO?pP?iSA@A@W`_SH@C,2.384185791015625e-07,0.15935063362121582,True,75,None
STbIO?B?oB?MH?DAJ@POEOcD?UGbOD?IC,2.384185791015625e-07,0.18867015838623047,True,70,None
Sa_\\B@O?[?CWIGBAOGWOo@EoOsQcP@KG_,4.76837158203125e-07,0.18327617645263672,True,76,None
Sac?_FKH?ECPBDw@DhAE_GG_P@K?_ogOK,4.76837158203125e-07,0.17693257331848145,True,74,None
SpgGOhQ?WCcRcgg??_oARR??CHI_aQA@g,2.384185791015625e-07,0.17142057418823242,True,83,None
SCQOPH?c`_KGGIcg@WBS_`H@Ga_?|?IQO,7.152557373046875e-07,0.14855551719665527,True,65,None
S@CPHaADQ@GOG?b@g[OPwoAbGALAG?WoC,4.76837158203125e-07,0.18981337547302246,True,84,None
