G6,PLI_create_time,solve_time,result,counter,break_type
S???????DqJEtCTcVOBR?HwAF_FG_?V_?,4.76837158203125e-07,84609.16267871857,True,1877,None
S???????DhGmTcG{HwCY_y_Ax?Ep?@d_?,2.384185791015625e-07,0.167633056640625,True,68,None
S???????Baskqg[W[aEs?Bk?NOC{?@b_?,2.384185791015625e-07,0.13956952095031738,True,61,None
S???????FAfKxCFgLQEJ?cw?^?BK_Cp_?,2.384185791015625e-07,0.1441333293914795,True,60,None
S???????EeNOD[_{KqEp?Q[?{ODY?DL??,4.76837158203125e-07,0.16316604614257812,True,69,None
S???????C\\IqgsUWFS@F_yC@sOCj?EY??,2.384185791015625e-07,0.13758325576782227,True,64,None
S???????DsWqRWEw[QBJ?E[ADoDs?Bg_?,4.76837158203125e-07,0.1365947723388672,True,58,None
S???????BhToYSFKO{DI_qoBq??f_Ap_?,2.384185791015625e-07,0.470750093460083,True,193,None
S???????CuEUXWfCGmFC_qK?}?Be?CZ??,2.384185791015625e-07,0.004166603088378906,True,1,None
S???????BDtK`[LoHeDg_qo@y??}?E`_?,2.384185791015625e-07,0.0065801143646240234,True,3,None
