G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-27)-(12-24)-(11-28)-(10-29)-(9-21)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010895729064941406,0.013241291046142578,4,True,4
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-27)-(12-24)-(11-28)-(10-29)-(9-21)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.000110626220703125,0.0068645477294921875,2,True,2
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-24)-(11-28)-(10-15)-(9-21)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00011181831359863281,0.0065631866455078125,2,True,2
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-24)-(11-28)-(10-15)-(9-21)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010752677917480469,0.0038738250732421875,1,True,1
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-24)-(11-15)-(10-21)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010967254638671875,0.003925323486328125,1,True,1
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-24)-(11-15)-(10-21)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010824203491210938,0.003883838653564453,1,True,1
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-21)-(11-15)-(10-24)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.0001087188720703125,0.0038988590240478516,1,True,1
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-21)-(11-15)-(10-24)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010728836059570312,0.003878355026245117,1,True,1
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-24)-(12-21)-(11-27)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010943412780761719,0.009330511093139648,3,True,3
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-24)-(12-21)-(11-27)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010919570922851562,0.0017728805541992188,0,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-21)-(12-24)-(11-27)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010919570922851562,0.00391697883605957,1,True,1
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-21)-(12-24)-(11-27)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010728836059570312,0.0017766952514648438,0,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-21)-(13-27)-(12-24)-(11-15)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010895729064941406,0.006456851959228516,2,True,2
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-21)-(13-27)-(12-24)-(11-15)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.000110626220703125,0.0038738250732421875,1,True,1
