G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(12-13)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.435943603515625e-05,0.00625300407409668,2,True,2
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(12-13)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.602836608886719e-05,0.01381993293762207,6,True,6
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(12-15)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.031990051269531e-05,0.0039052963256835938,2,True,2
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(12-15)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.8650970458984375e-05,0.004146099090576172,2,True,2
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(11-12)-(10-15)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.841255187988281e-05,0.004083871841430664,2,True,2
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(11-12)-(10-15)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.031990051269531e-05,0.389467716217041,0,False,5
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(11-12)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.246566772460938e-05,0.022101640701293945,6,True,6
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(11-12)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.103515625e-05,0.016578197479248047,4,True,4
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(11-15)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.151199340820312e-05,0.004129886627197266,1,True,1
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(11-15)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.175041198730469e-05,0.014097929000854492,6,True,6
O|fIJC`CGo``?`?w_EW?|,[(12-15)-(10-11)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.103515625e-05,0.002634286880493164,1,True,1
O|fIJC`CGo``?`?w_EW?|,[(12-15)-(10-11)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.9604644775390625e-05,0.05341196060180664,5,True,5
O|fIJC`CGo``?`?w_EW?|,[(11-12)-(10-15)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],8.487701416015625e-05,0.010164976119995117,4,True,4
O|fIJC`CGo``?`?w_EW?|,[(11-12)-(10-15)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.437301635742188e-05,0.0064275264739990234,3,True,3
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(10-11)-(9-15)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.937980651855469e-05,0.006680011749267578,2,True,2
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(10-11)-(9-15)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.651878356933594e-05,0.00934290885925293,4,True,4
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(11-15)-(9-10)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],6.29425048828125e-05,0.01017451286315918,4,True,4
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(11-15)-(9-10)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],6.508827209472656e-05,0.0045359134674072266,2,True,2
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(10-11)-(9-15)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],6.771087646484375e-05,0.013214349746704102,6,True,6
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(10-11)-(9-15)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],7.510185241699219e-05,0.004258155822753906,2,True,2
