G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(22-23)-(15-16)-(14-21)-(13-20)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],8.940696716308594e-05,0.044367313385009766,5,True,0
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(22-23)-(15-16)-(14-21)-(13-20)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],9.1552734375e-05,0.04945111274719238,5,True,0
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(22-23)-(16-21)-(14-15)-(13-20)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],8.821487426757812e-05,0.034888267517089844,4,True,0
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(22-23)-(16-21)-(14-15)-(13-20)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],9.465217590332031e-05,0.12370681762695312,20,False,0
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(22-23)-(20-21)-(15-16)-(13-14)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],0.00010085105895996094,0.028695344924926758,3,True,0
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(22-23)-(20-21)-(15-16)-(13-14)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],9.5367431640625e-05,0.054784536361694336,7,True,0
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(21-22)-(20-23)-(15-16)-(13-14)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],8.7738037109375e-05,0.03697991371154785,4,True,0
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(21-22)-(20-23)-(15-16)-(13-14)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],9.012222290039062e-05,0.03562760353088379,4,True,0
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(20-23)-(16-22)-(15-21)-(13-14)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],9.989738464355469e-05,0.028580665588378906,3,True,0
W|fIIC`KGo@@@`?o_KG@`?CC?GG?WG?KC?@@??MG??X_??|,[(20-23)-(16-22)-(15-21)-(13-14)-(12-19)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],9.1552734375e-05,0.049945831298828125,6,False,0
