G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
GFzvvW,[(5-7)-(2-6)-(1-4)-(0-3)],2.86102294921875e-05,0.012108087539672852,5,True,5
GFzvvW,[(5-7)-(2-6)-(1-4)-(0-3)],2.574920654296875e-05,0.015413522720336914,11,True,11
GFzvvW,[(4-7)-(2-6)-(1-5)-(0-3)],2.9325485229492188e-05,0.008840322494506836,4,True,4
GFzvvW,[(4-7)-(2-6)-(1-5)-(0-3)],2.4080276489257812e-05,0.0052165985107421875,3,True,3
GFzvvW,[(4-6)-(2-7)-(1-5)-(0-3)],2.574920654296875e-05,0.0031125545501708984,3,True,3
GFzvvW,[(4-6)-(2-7)-(1-5)-(0-3)],2.47955322265625e-05,0.020328044891357422,6,True,7
GFzvvW,[(5-7)-(2-4)-(1-6)-(0-3)],2.5510787963867188e-05,0.009512662887573242,5,True,5
GFzvvW,[(5-7)-(2-4)-(1-6)-(0-3)],2.5033950805664062e-05,0.01331949234008789,9,True,10
GFzvvW,[(4-7)-(2-5)-(1-6)-(0-3)],2.574920654296875e-05,0.0020880699157714844,0,False,1
GFzvvW,[(4-7)-(2-5)-(1-6)-(0-3)],2.4557113647460938e-05,0.0046939849853515625,2,True,2
GFzvvW,[(4-6)-(2-5)-(1-7)-(0-3)],2.574920654296875e-05,0.002006053924560547,2,True,2
GFzvvW,[(4-6)-(2-5)-(1-7)-(0-3)],2.47955322265625e-05,0.0028443336486816406,3,True,3
GFzvvW,[(5-7)-(2-6)-(1-3)-(0-4)],2.5987625122070312e-05,0.0031838417053222656,3,True,3
GFzvvW,[(5-7)-(2-6)-(1-3)-(0-4)],2.5033950805664062e-05,0.00832676887512207,4,True,4
GFzvvW,[(3-6)-(2-7)-(1-5)-(0-4)],2.574920654296875e-05,0.00793147087097168,5,True,5
GFzvvW,[(3-6)-(2-7)-(1-5)-(0-4)],2.47955322265625e-05,0.014539718627929688,11,True,11
GFzvvW,[(5-7)-(2-3)-(1-6)-(0-4)],2.574920654296875e-05,0.003178834915161133,3,True,3
GFzvvW,[(5-7)-(2-3)-(1-6)-(0-4)],2.4318695068359375e-05,0.015908479690551758,4,True,5
GFzvvW,[(3-5)-(2-7)-(1-6)-(0-4)],2.574920654296875e-05,0.001994609832763672,2,True,2
GFzvvW,[(3-5)-(2-7)-(1-6)-(0-4)],2.5272369384765625e-05,0.03307151794433594,6,True,6
GQ~vvg,[(5-7)-(4-6)-(1-3)-(0-2)],2.5987625122070312e-05,0.0004811286926269531,0,True,0
GQ~vvg,[(5-7)-(4-6)-(1-3)-(0-2)],2.5272369384765625e-05,0.00045990943908691406,0,True,0
GQ~vvg,[(5-7)-(3-6)-(1-4)-(0-2)],2.574920654296875e-05,0.0037643909454345703,3,True,3
GQ~vvg,[(5-7)-(3-6)-(1-4)-(0-2)],2.4557113647460938e-05,0.006968021392822266,5,True,5
GQ~vvg,[(4-6)-(3-7)-(1-5)-(0-2)],2.6226043701171875e-05,0.022454023361206055,0,False,7
GQ~vvg,[(4-6)-(3-7)-(1-5)-(0-2)],2.5033950805664062e-05,0.001125335693359375,1,True,1
GQ~vvg,[(5-7)-(3-4)-(1-6)-(0-2)],2.5033950805664062e-05,0.0031452178955078125,3,True,3
GQ~vvg,[(5-7)-(3-4)-(1-6)-(0-2)],2.4557113647460938e-05,0.06865811347961426,10,True,13
GQ~vvg,[(4-6)-(3-5)-(1-7)-(0-2)],2.574920654296875e-05,0.1392223834991455,6,True,17
GQ~vvg,[(4-6)-(3-5)-(1-7)-(0-2)],2.5987625122070312e-05,0.006127119064331055,3,True,5
GQ~vvg,[(5-7)-(2-6)-(1-3)-(0-4)],2.5987625122070312e-05,0.02123284339904785,0,False,6
GQ~vvg,[(5-7)-(2-6)-(1-3)-(0-4)],2.4557113647460938e-05,0.0011565685272216797,1,True,1
GQ~vvg,[(3-7)-(2-6)-(1-5)-(0-4)],2.574920654296875e-05,0.00048160552978515625,0,True,0
GQ~vvg,[(3-7)-(2-6)-(1-5)-(0-4)],2.4557113647460938e-05,0.00046181678771972656,0,True,0
GQ~vvg,[(3-6)-(2-7)-(1-5)-(0-4)],2.5510787963867188e-05,0.006671428680419922,6,True,6
GQ~vvg,[(3-6)-(2-7)-(1-5)-(0-4)],2.4557113647460938e-05,0.0019507408142089844,2,True,2
GQ~vvg,[(3-7)-(2-5)-(1-6)-(0-4)],2.5033950805664062e-05,0.017161130905151367,5,True,6
GQ~vvg,[(3-7)-(2-5)-(1-6)-(0-4)],2.4557113647460938e-05,0.001996278762817383,2,True,2
GQ~vvg,[(3-5)-(2-7)-(1-6)-(0-4)],5.14984130859375e-05,0.009409427642822266,6,True,6
GQ~vvg,[(3-5)-(2-7)-(1-6)-(0-4)],2.4557113647460938e-05,0.0022194385528564453,2,True,2
GUzvrw,[(5-7)-(4-6)-(1-3)-(0-2)],2.5272369384765625e-05,0.003141641616821289,3,True,3
GUzvrw,[(5-7)-(4-6)-(1-3)-(0-2)],2.5272369384765625e-05,0.07485342025756836,7,True,11
GUzvrw,[(5-7)-(3-6)-(1-4)-(0-2)],2.5987625122070312e-05,0.030697107315063477,4,True,4
GUzvrw,[(5-7)-(3-6)-(1-4)-(0-2)],2.47955322265625e-05,0.02777409553527832,9,True,10
GUzvrw,[(4-7)-(3-6)-(1-5)-(0-2)],2.6226043701171875e-05,0.002962827682495117,0,False,1
GUzvrw,[(4-7)-(3-6)-(1-5)-(0-2)],2.4318695068359375e-05,0.011806011199951172,5,True,5
GUzvrw,[(4-6)-(3-7)-(1-5)-(0-2)],2.5272369384765625e-05,0.004004240036010742,4,True,4
GUzvrw,[(4-6)-(3-7)-(1-5)-(0-2)],2.4318695068359375e-05,0.004157543182373047,4,True,4
GUzvrw,[(4-7)-(3-5)-(1-6)-(0-2)],2.5510787963867188e-05,0.012633085250854492,5,True,5
GUzvrw,[(4-7)-(3-5)-(1-6)-(0-2)],2.4557113647460938e-05,0.0012378692626953125,1,True,1
GUzvrw,[(4-6)-(3-5)-(1-7)-(0-2)],2.5510787963867188e-05,0.0013041496276855469,1,True,1
GUzvrw,[(4-6)-(3-5)-(1-7)-(0-2)],2.47955322265625e-05,0.0011134147644042969,1,True,1
GUzvrw,[(5-7)-(2-6)-(1-4)-(0-3)],2.5033950805664062e-05,0.007455348968505859,6,True,6
GUzvrw,[(5-7)-(2-6)-(1-4)-(0-3)],2.4557113647460938e-05,0.004784107208251953,4,True,4
GUzvrw,[(4-7)-(2-6)-(1-5)-(0-3)],2.5033950805664062e-05,0.040769338607788086,14,True,14
GUzvrw,[(4-7)-(2-6)-(1-5)-(0-3)],2.5033950805664062e-05,0.0022013187408447266,2,True,2
