G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
M???FrevFcXoN_N_?,[(6-13)-(5-12)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.744529724121094e-05,0.014366865158081055,3,True,3
M???FrevFcXoN_N_?,[(6-13)-(5-12)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.57763671875e-05,0.004834175109863281,3,True,3
M???FrevFcXoN_N_?,[(6-12)-(5-13)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.649162292480469e-05,0.0033071041107177734,1,True,1
M???FrevFcXoN_N_?,[(6-12)-(5-13)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.506111145019531e-05,0.002001047134399414,1,True,1
M???FrevFcXoN_N_?,[(6-13)-(5-11)-(4-12)-(3-9)-(2-10)-(1-8)-(0-7)],4.601478576660156e-05,0.007323741912841797,4,True,4
M???FrevFcXoN_N_?,[(6-13)-(5-11)-(4-12)-(3-9)-(2-10)-(1-8)-(0-7)],4.553794860839844e-05,0.0008096694946289062,0,True,0
M???FrevFcXoN_N_?,[(6-11)-(5-13)-(4-12)-(3-9)-(2-10)-(1-8)-(0-7)],4.506111145019531e-05,0.0020263195037841797,1,True,1
M???FrevFcXoN_N_?,[(6-11)-(5-13)-(4-12)-(3-9)-(2-10)-(1-8)-(0-7)],7.414817810058594e-05,0.0031719207763671875,2,True,2
M???FrevFcXoN_N_?,[(6-12)-(5-11)-(4-13)-(3-9)-(2-10)-(1-8)-(0-7)],4.57763671875e-05,0.010698318481445312,3,True,3
M???FrevFcXoN_N_?,[(6-12)-(5-11)-(4-13)-(3-9)-(2-10)-(1-8)-(0-7)],4.4345855712890625e-05,0.001993417739868164,1,True,1
M???FrevFcXoN_N_?,[(6-11)-(5-12)-(4-13)-(3-9)-(2-10)-(1-8)-(0-7)],4.5299530029296875e-05,0.0046539306640625,2,True,2
M???FrevFcXoN_N_?,[(6-11)-(5-12)-(4-13)-(3-9)-(2-10)-(1-8)-(0-7)],4.482269287109375e-05,0.001898050308227539,1,True,1
M???FrevFcXoN_N_?,[(6-13)-(5-11)-(4-9)-(3-12)-(2-10)-(1-8)-(0-7)],4.553794860839844e-05,0.0067462921142578125,4,True,4
M???FrevFcXoN_N_?,[(6-13)-(5-11)-(4-9)-(3-12)-(2-10)-(1-8)-(0-7)],4.506111145019531e-05,0.0018389225006103516,1,True,1
M???FrevFcXoN_N_?,[(6-11)-(5-13)-(4-9)-(3-12)-(2-10)-(1-8)-(0-7)],4.5299530029296875e-05,0.003164052963256836,2,True,2
M???FrevFcXoN_N_?,[(6-11)-(5-13)-(4-9)-(3-12)-(2-10)-(1-8)-(0-7)],4.506111145019531e-05,0.006543159484863281,4,True,4
M???FrevFcXoN_N_?,[(6-13)-(5-9)-(4-11)-(3-12)-(2-10)-(1-8)-(0-7)],4.5299530029296875e-05,0.004748106002807617,3,True,3
M???FrevFcXoN_N_?,[(6-13)-(5-9)-(4-11)-(3-12)-(2-10)-(1-8)-(0-7)],4.458427429199219e-05,0.004693269729614258,3,True,3
M???FrevFcXoN_N_?,[(6-11)-(5-9)-(4-13)-(3-12)-(2-10)-(1-8)-(0-7)],4.482269287109375e-05,0.009003877639770508,5,True,5
M???FrevFcXoN_N_?,[(6-11)-(5-9)-(4-13)-(3-12)-(2-10)-(1-8)-(0-7)],4.4345855712890625e-05,0.0072324275970458984,4,True,4
M???FrevDk\\OV_N_?,[(6-13)-(5-12)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.3392181396484375e-05,0.0008242130279541016,0,True,0
M???FrevDk\\OV_N_?,[(6-13)-(5-12)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.363059997558594e-05,0.0032455921173095703,2,True,2
M???FrevDk\\OV_N_?,[(6-12)-(5-13)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.458427429199219e-05,0.010903596878051758,4,True,4
M???FrevDk\\OV_N_?,[(6-12)-(5-13)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.410743713378906e-05,0.0032074451446533203,2,True,2
M???FrevDk\\OV_N_?,[(6-11)-(5-13)-(4-12)-(3-9)-(2-10)-(1-8)-(0-7)],4.863739013671875e-05,0.0035076141357421875,2,True,2
M???FrevDk\\OV_N_?,[(6-11)-(5-13)-(4-12)-(3-9)-(2-10)-(1-8)-(0-7)],4.458427429199219e-05,0.0018837451934814453,1,True,1
M???FrevDk\\OV_N_?,[(6-11)-(5-12)-(4-13)-(3-9)-(2-10)-(1-8)-(0-7)],4.4345855712890625e-05,0.0033371448516845703,2,True,2
M???FrevDk\\OV_N_?,[(6-11)-(5-12)-(4-13)-(3-9)-(2-10)-(1-8)-(0-7)],4.410743713378906e-05,0.0019609928131103516,1,True,1
M???FrevDk\\OV_N_?,[(6-11)-(5-13)-(4-9)-(3-12)-(2-10)-(1-8)-(0-7)],4.4345855712890625e-05,0.004800081253051758,3,True,3
M???FrevDk\\OV_N_?,[(6-11)-(5-13)-(4-9)-(3-12)-(2-10)-(1-8)-(0-7)],4.315376281738281e-05,0.0031440258026123047,2,True,2
M???FrevDk\\OV_N_?,[(6-13)-(5-9)-(4-11)-(3-12)-(2-10)-(1-8)-(0-7)],4.4345855712890625e-05,0.0031676292419433594,2,True,2
M???FrevDk\\OV_N_?,[(6-13)-(5-9)-(4-11)-(3-12)-(2-10)-(1-8)-(0-7)],6.031990051269531e-05,0.003138303756713867,2,True,2
M???FrevDk\\OV_N_?,[(6-11)-(5-9)-(4-13)-(3-12)-(2-10)-(1-8)-(0-7)],4.410743713378906e-05,0.003071308135986328,1,True,1
M???FrevDk\\OV_N_?,[(6-11)-(5-9)-(4-13)-(3-12)-(2-10)-(1-8)-(0-7)],4.315376281738281e-05,0.0018393993377685547,1,True,1
M???FrevDk\\OV_N_?,[(6-11)-(5-12)-(4-9)-(3-13)-(2-10)-(1-8)-(0-7)],4.363059997558594e-05,0.004750967025756836,3,True,3
M???FrevDk\\OV_N_?,[(6-11)-(5-12)-(4-9)-(3-13)-(2-10)-(1-8)-(0-7)],4.3392181396484375e-05,0.0047149658203125,3,True,3
M???FrevDk\\OV_N_?,[(6-12)-(5-9)-(4-11)-(3-13)-(2-10)-(1-8)-(0-7)],4.482269287109375e-05,0.006577014923095703,4,True,4
M???FrevDk\\OV_N_?,[(6-12)-(5-9)-(4-11)-(3-13)-(2-10)-(1-8)-(0-7)],4.410743713378906e-05,0.0031452178955078125,2,True,2
M???FrevDk\\OV_N_?,[(6-11)-(5-9)-(4-12)-(3-13)-(2-10)-(1-8)-(0-7)],4.4345855712890625e-05,0.0051000118255615234,3,True,3
M???FrevDk\\OV_N_?,[(6-11)-(5-9)-(4-12)-(3-13)-(2-10)-(1-8)-(0-7)],4.410743713378906e-05,0.005719900131225586,2,True,2
M???FrevDkZOZ_N_?,[(6-13)-(5-12)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.363059997558594e-05,0.002022266387939453,1,True,1
M???FrevDkZOZ_N_?,[(6-13)-(5-12)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.4345855712890625e-05,0.0018455982208251953,1,True,1
M???FrevDkZOZ_N_?,[(6-12)-(5-13)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],5.698204040527344e-05,0.005049943923950195,3,True,3
M???FrevDkZOZ_N_?,[(6-12)-(5-13)-(4-11)-(3-9)-(2-10)-(1-8)-(0-7)],4.410743713378906e-05,0.003344297409057617,2,True,2
M???FrevDkZOZ_N_?,[(6-11)-(5-13)-(4-12)-(3-9)-(2-10)-(1-8)-(0-7)],4.6253204345703125e-05,0.0032181739807128906,2,True,2
M???FrevDkZOZ_N_?,[(6-11)-(5-13)-(4-12)-(3-9)-(2-10)-(1-8)-(0-7)],4.482269287109375e-05,0.003576517105102539,2,True,2
M???FrevDkZOZ_N_?,[(6-11)-(5-12)-(4-13)-(3-9)-(2-10)-(1-8)-(0-7)],6.127357482910156e-05,0.002336740493774414,1,True,1
M???FrevDkZOZ_N_?,[(6-11)-(5-12)-(4-13)-(3-9)-(2-10)-(1-8)-(0-7)],4.482269287109375e-05,0.005866289138793945,2,True,2
M???FrevDkZOZ_N_?,[(6-13)-(5-12)-(4-9)-(3-11)-(2-10)-(1-8)-(0-7)],4.601478576660156e-05,0.0008819103240966797,0,True,0
M???FrevDkZOZ_N_?,[(6-13)-(5-12)-(4-9)-(3-11)-(2-10)-(1-8)-(0-7)],4.458427429199219e-05,0.003254413604736328,2,True,2
M???FrevDkZOZ_N_?,[(6-12)-(5-13)-(4-9)-(3-11)-(2-10)-(1-8)-(0-7)],4.553794860839844e-05,0.0019237995147705078,1,True,1
M???FrevDkZOZ_N_?,[(6-12)-(5-13)-(4-9)-(3-11)-(2-10)-(1-8)-(0-7)],4.410743713378906e-05,0.003194570541381836,2,True,2
M???FrevDkZOZ_N_?,[(6-13)-(5-9)-(4-12)-(3-11)-(2-10)-(1-8)-(0-7)],4.4345855712890625e-05,0.0031709671020507812,2,True,2
M???FrevDkZOZ_N_?,[(6-13)-(5-9)-(4-12)-(3-11)-(2-10)-(1-8)-(0-7)],4.458427429199219e-05,0.00500035285949707,3,True,3
