G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-15)-(7-14)-(6-13)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.817413330078125e-05,0.019093036651611328,2,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-15)-(7-14)-(6-13)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.984306335449219e-05,0.03934454917907715,5,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-14)-(7-15)-(6-13)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.8650970458984375e-05,0.025493383407592773,3,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-14)-(7-15)-(6-13)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.936622619628906e-05,0.03122997283935547,4,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-13)-(7-15)-(6-14)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],9.250640869140625e-05,0.025980234146118164,3,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-13)-(7-15)-(6-14)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.936622619628906e-05,0.013521909713745117,1,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-13)-(7-14)-(6-15)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.91278076171875e-05,0.023642301559448242,3,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-13)-(7-14)-(6-15)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],8.58306884765625e-05,0.013878345489501953,1,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-15)-(7-14)-(6-12)-(5-13)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.793571472167969e-05,0.013913154602050781,1,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-15)-(7-14)-(6-12)-(5-13)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],6.914138793945312e-05,0.0187225341796875,2,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-14)-(7-15)-(6-12)-(5-13)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.8650970458984375e-05,0.024861574172973633,3,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-14)-(7-15)-(6-12)-(5-13)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.91278076171875e-05,0.024625778198242188,3,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-15)-(7-12)-(6-14)-(5-13)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.841255187988281e-05,0.012678861618041992,1,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-15)-(7-12)-(6-14)-(5-13)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],6.4849853515625e-05,0.01891160011291504,2,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-14)-(7-12)-(6-15)-(5-13)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.888938903808594e-05,0.018644332885742188,2,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-14)-(7-12)-(6-15)-(5-13)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],6.890296936035156e-05,0.018785953521728516,2,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-13)-(7-15)-(6-12)-(5-14)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],6.508827209472656e-05,0.02371811866760254,3,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-13)-(7-15)-(6-12)-(5-14)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.8650970458984375e-05,0.019308805465698242,2,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-15)-(7-12)-(6-13)-(5-14)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.8650970458984375e-05,0.018901824951171875,2,True,0
Q??????}Fo^?popgC{@N?FW?Z_?,[(8-15)-(7-12)-(6-13)-(5-14)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.9604644775390625e-05,0.018843889236450195,2,True,0
Q??????}Fo^?pohgKk?v?Dw?N_?,[(8-15)-(7-14)-(6-13)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],6.318092346191406e-05,0.01873159408569336,2,True,0
Q??????}Fo^?pohgKk?v?Dw?N_?,[(8-15)-(7-14)-(6-13)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.793571472167969e-05,0.024631023406982422,3,True,0
Q??????}Fo^?pohgKk?v?Dw?N_?,[(8-14)-(7-15)-(6-13)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.698204040527344e-05,0.018908977508544922,2,True,0
Q??????}Fo^?pohgKk?v?Dw?N_?,[(8-14)-(7-15)-(6-13)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.841255187988281e-05,0.032326459884643555,4,True,0
Q??????}Fo^?pohgKk?v?Dw?N_?,[(8-13)-(7-14)-(6-15)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],5.793571472167969e-05,0.012993574142456055,1,True,0
Q??????}Fo^?pohgKk?v?Dw?N_?,[(8-13)-(7-14)-(6-15)-(5-12)-(4-17)-(3-16)-(2-11)-(1-10)-(0-9)],6.866455078125e-05,0.01369166374206543,1,True,0
