G6,PLI_create_time,solve_time,result,counter,break_type
U|bIBCpCGo`@B?@__OGE@?KC?[G?GW?KC?B`??Kw,4.76837158203125e-07,5.900098085403442,True,13,None
U|fIJ?pCGO`@@`?__OGA@?[C?WW?W??MC?@b??Lg,2.384185791015625e-07,10.840539932250977,True,70,None
U|fIAC`GG_b@B@@__OGE@?WC?oG?oG?[C?@b??NG,2.384185791015625e-07,4.453269958496094,True,13,None
UtfIID`GH_b?A@@__WGB`?E??KG?KG?EC??x??Bw,2.384185791015625e-07,5.648735284805298,True,29,None
UtfAID`G@_b@A@B?_oGE@?WC?oG?_G?{C?Ba??Fg,2.384185791015625e-07,5.5670530796051025,True,16,None
UtfIID`GH_b?B@?__WGA@?KC?WG?WG?MC?@p??Fg,2.384185791015625e-07,7.558428049087524,True,51,None
U|fIBCpEGO_`@@?__OGF`?AG?KG?KG?EC?@h??Bw,4.76837158203125e-07,14.681827545166016,True,85,None
U|fII?`KGo``?`?__WGA@?WC?{??CW?EC?@p??Ew,2.384185791015625e-07,7.1894073486328125,True,54,None
U|fIB?pEGW_o?`?__WGBo?B??EG?EG?BC??x??Bw,4.76837158203125e-07,10.172436952590942,True,83,None
U|fII?`KGo``?`?__WGA@?WC?wG?KG?EC?@p??Ew,4.76837158203125e-07,1.2128725051879883,True,4,None
UtfIID_GH_b@B@?__WGA@?WC?oG?oG?MC?@p??Fg,2.384185791015625e-07,8.637878179550171,True,46,None
U|fIB?pEGW_o?`?__WGB@?EC?KG?KG?EC?@p??Bw,2.384185791015625e-07,15.357982397079468,True,119,None
U|fII?`KGo``?`?__WGA@?WC?oG?[G?EC?@p??FW,2.384185791015625e-07,10.541864395141602,True,43,None
U|eII@`KGo``@_?__WGA@?]??CW?KG?EC?@p??Dw,2.384185791015625e-07,10.380287885665894,True,65,None
