G6,PLI_create_time,solve_time,result,counter,break_type
ScMU?CC@@??\\IAt@HCQDOKCC`Q?Ro?A`W,2.384185791015625e-07,2.43571138381958,True,16,None
SOMA?C@H??aoO]V?[S?ooGJ@DcC_OsUA?,2.384185791015625e-07,0.511188268661499,True,5,None
S_`@i[o?G_O_KcAMAL@?SoBCgScWGA?ac,2.384185791015625e-07,0.9389646053314209,True,8,None
S@__AdCOkSRGj?IO?pP?iSA@A@W`_SH@C,4.76837158203125e-07,0.7106430530548096,True,4,None
STbIO?B?oB?MH?DAJ@POEOcD?UGbOD?IC,2.384185791015625e-07,2.6727752685546875,True,12,None
Sa_\\B@O?[?CWIGBAOGWOo@EoOsQcP@KG_,2.384185791015625e-07,0.6471617221832275,True,3,None
Sac?_FKH?ECPBDw@DhAE_GG_P@K?_ogOK,2.384185791015625e-07,0.6896123886108398,True,5,None
SpgGOhQ?WCcRcgg??_oARR??CHI_aQA@g,2.384185791015625e-07,1.6284096240997314,True,8,None
SCQOPH?c`_KGGIcg@WBS_`H@Ga_?|?IQO,2.384185791015625e-07,4.051069021224976,True,40,None
S@CPHaADQ@GOG?b@g[OPwoAbGALAG?WoC,2.384185791015625e-07,0.834136962890625,True,5,None
