G6,PLI_create_time,solve_time,result,counter,break_type
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,2.384185791015625e-07,19.394391775131226,True,9,None
]?????????????????ED@k@PHQDODAHS?EI_WK_DCg?B@c?AkO?Db??UK???iI??QOW??DX???,2.384185791015625e-07,13.593392610549927,True,10,None
]?????????????????AKECbQga?Z@@`aAIA_iP??JP?F?g?caG?w@_?IIC?A@q??@f??@DQ???,2.384185791015625e-07,11.752890586853027,True,4,None
]?????????????????@BBYOOY`?UK?D[?dI?fC?@gI?[AC?pAG?CKg?Op_?E_o??QgG??@V???,2.384185791015625e-07,12.052013397216797,True,14,None
]??????????????????Uos@O``_hWAaEAC[?wB?@WP?KGW?Fc??ag_?@YC?CdG??H?w?@?q_??,2.384185791015625e-07,15.232628583908081,True,13,None
]?????????????????@KBDL@HE@OT@agAQA__gW?YP?GCw?SOo?_f??OFG?CwO??Wk??@l????,2.384185791015625e-07,13.022710084915161,True,9,None
]?????????????????AEoEDPBDD`A@?VAGW_HGgEGD?DQO?BoO?Jo??YC_??hP??_V??@Oe???,4.76837158203125e-07,19.190631866455078,True,9,None
]??????????????????Ee@SpEa@s@@_JACw?[S?@TO?BK_?RB??sAG?W@o?D?F??@dG?AH`???,2.384185791015625e-07,14.715903282165527,True,3,None
]?????????????????CbON_?WdD@B??}?EE_XP?CCF?LP??HK_?aSO??NC?As@??OR_?BSO???,2.384185791015625e-07,17.3255877494812,True,14,None
]?????????????????EaGY?qPP@E`?HXBG__GJO@kA?QSO?@`g?QR??CQK??Ro??TC_?AKI???,2.384185791015625e-07,12.721451997756958,True,7,None
