G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(14-15)-(13-19)-(12-18)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.200241088867188e-05,0.031008005142211914,4,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(14-15)-(13-19)-(12-18)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.771087646484375e-05,0.024838924407958984,3,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(15-19)-(13-14)-(12-18)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.818771362304688e-05,0.038403987884521484,5,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(15-19)-(13-14)-(12-18)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.628036499023438e-05,0.0186312198638916,2,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(18-19)-(14-15)-(12-13)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.651878356933594e-05,0.012712717056274414,1,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(18-19)-(14-15)-(12-13)-(11-17)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.390975952148438e-05,0.024162769317626953,3,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-19)-(14-15)-(12-13)-(11-18)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.508827209472656e-05,0.027030229568481445,3,False,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-19)-(14-15)-(12-13)-(11-18)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.67572021484375e-05,0.024422407150268555,3,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-19)-(14-15)-(13-18)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.580352783203125e-05,0.017958641052246094,2,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-19)-(14-15)-(13-18)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],8.726119995117188e-05,0.0392460823059082,5,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-18)-(14-15)-(13-19)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.67572021484375e-05,0.0733036994934082,18,False,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-18)-(14-15)-(13-19)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],0.00013065338134765625,0.01275491714477539,1,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-18)-(15-19)-(13-14)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.580352783203125e-05,0.017839670181274414,2,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(17-18)-(15-19)-(13-14)-(11-12)-(10-16)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.319450378417969e-05,0.0414128303527832,5,False,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(16-19)-(14-15)-(12-13)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.508827209472656e-05,0.018872737884521484,2,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(16-19)-(14-15)-(12-13)-(11-18)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.699562072753906e-05,0.025978565216064453,3,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(16-19)-(14-15)-(13-18)-(11-12)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.033348083496094e-05,0.07618355751037598,16,False,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(16-19)-(14-15)-(13-18)-(11-12)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.699562072753906e-05,0.029169321060180664,4,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(18-19)-(15-16)-(13-14)-(11-12)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.794929504394531e-05,0.019431591033935547,2,True,0
S|fIBC`CGo`_@`?__[G@`?EC?KG?MG?A{,[(18-19)-(15-16)-(13-14)-(11-12)-(10-17)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.772445678710938e-05,0.027471542358398438,3,False,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(14-15)-(12-13)-(11-19)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],6.771087646484375e-05,0.06604218482971191,15,False,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(14-15)-(12-13)-(11-19)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],6.818771362304688e-05,0.06859111785888672,16,False,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(14-15)-(13-19)-(11-12)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],6.580352783203125e-05,0.0375521183013916,5,False,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(14-15)-(13-19)-(11-12)-(10-18)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],6.866455078125e-05,0.028613567352294922,3,False,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(18-19)-(14-15)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],6.961822509765625e-05,0.03575587272644043,4,False,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(18-19)-(14-15)-(12-13)-(10-11)-(9-17)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],6.842613220214844e-05,0.043883562088012695,6,True,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(15-17)-(13-14)-(11-12)-(10-19)-(9-18)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],6.699562072753906e-05,0.024692535400390625,2,False,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(15-17)-(13-14)-(11-12)-(10-19)-(9-18)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],6.842613220214844e-05,0.03229665756225586,4,True,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(15-17)-(13-14)-(12-19)-(10-11)-(9-18)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],6.747245788574219e-05,0.05901598930358887,15,False,0
StfIAD`GH_B@B@@__OGE@?[C?Ow?pG?]C,[(15-17)-(13-14)-(12-19)-(10-11)-(9-18)-(8-16)-(6-7)-(4-5)-(2-3)-(0-1)],7.081031799316406e-05,0.05308675765991211,7,False,0
