G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-27)-(12-24)-(11-28)-(10-29)-(9-21)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00011324882507324219,0.04380512237548828,4,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-27)-(12-24)-(11-28)-(10-29)-(9-21)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.0002586841583251953,0.02399134635925293,2,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-24)-(11-28)-(10-15)-(9-21)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.0001647472381591797,0.024637937545776367,2,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-24)-(11-28)-(10-15)-(9-21)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00012421607971191406,0.01722860336303711,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-24)-(11-15)-(10-21)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010418891906738281,0.016552448272705078,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-24)-(11-15)-(10-21)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010466575622558594,0.016644001007080078,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-21)-(11-15)-(10-24)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.000110626220703125,0.01617717742919922,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-27)-(12-21)-(11-15)-(10-24)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010418891906738281,0.016412973403930664,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-24)-(12-21)-(11-27)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010418891906738281,0.03217744827270508,3,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-24)-(12-21)-(11-27)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.0002071857452392578,0.01180720329284668,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-21)-(12-24)-(11-27)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.0001125335693359375,0.016863584518432617,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-21)-(12-24)-(11-27)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010538101196289062,0.01136159896850586,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-21)-(13-27)-(12-24)-(11-15)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00012230873107910156,0.023528575897216797,2,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-21)-(13-27)-(12-24)-(11-15)-(10-29)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010824203491210938,0.016635656356811523,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-24)-(12-21)-(11-27)-(10-15)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010466575622558594,0.01640486717224121,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-24)-(12-21)-(11-27)-(10-15)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.0001125335693359375,0.025209665298461914,2,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-21)-(12-24)-(11-27)-(10-15)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010991096496582031,0.016060590744018555,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-29)-(13-21)-(12-24)-(11-27)-(10-15)-(9-28)-(8-25)-(7-26)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010418891906738281,0.016914844512939453,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-26)-(12-24)-(11-27)-(10-29)-(9-21)-(8-25)-(7-28)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00011372566223144531,0.01843738555908203,1,True,0
]?????????????????@GXOXHWDFg?DQ_@IQ??EwCES?P_S??io?\\G??QIG?@KI??A\\???Qg_??,[(14-15)-(13-26)-(12-24)-(11-27)-(10-29)-(9-21)-(8-25)-(7-28)-(6-22)-(5-23)-(4-20)-(3-17)-(2-19)-(1-16)-(0-18)],0.00010633468627929688,0.01564621925354004,1,True,0
]?????????????????ED@k@PHQDODAHS?EI_WK_DCg?B@c?AkO?Db??UK???iI??QOW??DX???,[(14-28)-(13-29)-(12-21)-(11-27)-(10-25)-(9-22)-(8-15)-(7-26)-(6-20)-(5-19)-(4-24)-(3-23)-(2-18)-(1-17)-(0-16)],0.00017118453979492188,0.013787269592285156,1,True,0
